	TCGA.A8.A08Z.01A.21R.A00Z.07	TCGA.BH.A1FN.01A.11R.A13Q.07	TCGA.E2.A159.01A.11R.A115.07	TCGA.AR.A1AR.01A.31R.A137.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.CV.7407.01A.11R.2081.07	TCGA.55.1592.01A.01R.0946.07	TCGA.55.7727.01A.11R.2170.07	TCGA.55.7724.01A.11R.2170.07	TCGA.86.7711.01A.11R.2066.07	TCGA.60.2704.01A.11R.2045.07	TCGA.66.2742.01A.01R.0980.07	TCGA.85.8666.01A.11R.2403.07	TCGA.77.7338.01A.11R.2045.07	TCGA.56.A62T.01A.11R.A405.07	TCGA.34.2608.01A.02R.0851.07	TCGA.66.2773.01A.01R.1201.07	TCGA.63.A5MH.01A.12R.A27Q.07	TCGA.85.7844.01A.11R.2125.07	TCGA.21.1071.01A.01R.0692.07	TCGA.BR.8289.01A.11R.2343.13	TCGA.BR.6458.01A.11R.1802.13	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A3V5.01A.11R.A22U.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.DJ.A2Q9.01A.21R.A18C.07	GTEX.R55C.0626.SM.2TF4Q	GTEX.ZTPG.0826.SM.5DUVC	GTEX.11TT1.1126.SM.5P9GV
FAM220A	420.68	813.63	529.06	642.59	334.46	309.83	320.8	406.31	392.44	507.46	753.83	376.41	703.28	454.09	373.81	514.56	457.25	409.15	733.19	507.46	417.77	281.09	327.56	223.41	500.46	214.27	255.0	221.86	255.0	186.4	249.73	226.54	253.23	265.87	211.31	190.34	389.72	195.72	237.86	234.57	183.82	223.41	208.38	169.07	198.47	206.94	279.14	202.66	209.84	244.57	244.57	212.78	164.42	214.27	242.88	269.6	193.01	299.25	236.21	226.54	248.0	206.94	172.65	267.73	182.55	246.28	197.09	201.25	277.2	198.47	323.03	185.11	204.07	176.29	217.27	185.11	199.85	242.88	211.31	251.48	183.82	212.78	183.82	228.13	283.05	260.38	279.14	218.79	215.77	211.31	194.36	271.48	186.4	208.38	246.28	161.02	189.02	208.38	249.73	182.55	199.85	202.66	234.57	224.97	194.36	234.57	229.72	214.27	242.88	199.85	255.0	255.0	218.79	153.34	336.79	325.29	327.56	320.8
FBXO28	860.08	1001.93	500.46	981.29	309.83	500.46	567.1	620.67	607.87	543.96	444.72	447.82	444.72	381.68	551.56	289.02	316.37	423.61	454.09	473.41	480.04	447.82	543.96	229.72	205.5	249.73	218.79	173.85	249.73	309.83	265.87	231.32	223.41	211.31	185.11	126.12	147.06	164.42	139.07	256.78	154.42	323.03	166.73	167.9	239.52	351.14	162.14	318.57	218.79	239.52	133.36	185.11	244.57	260.38	218.79	202.66	142.01	214.27	153.34	152.28	208.38	265.87	287.01	205.5	158.79	186.4	167.9	175.07	201.25	281.09	262.2	234.57	260.38	198.47	190.34	212.78	150.17	267.73	264.03	248.0	209.84	217.27	242.88	137.14	198.47	237.86	148.09	215.77	224.97	271.48	242.88	180.02	301.33	220.32	236.21	165.57	193.01	265.87	234.57	318.57	209.84	183.82	248.0	242.88	165.57	265.87	223.41	371.22	166.73	181.28	307.69	226.54	309.83	226.54	327.56	447.82	248.0	226.54
FIGNL1	248.0	551.56	358.54	583.07	159.9	221.86	154.42	158.79	305.55	295.11	115.97	412.0	400.71	267.73	287.01	283.05	111.99	285.03	723.08	457.25	420.68	271.48	351.14	65.26	87.03	114.36	64.8	78.89	167.9	45.85	190.34	110.43	92.7	91.41	70.51	50.27	104.42	48.18	30.56	143.01	23.76	142.01	65.26	45.21	157.68	112.77	34.02	117.6	83.45	28.45	66.65	40.07	100.13	128.79	85.82	49.56	57.49	90.77	26.67	48.52	96.01	86.43	127.89	61.68	41.81	50.98	77.25	85.22	177.53	140.04	115.97	73.54	84.63	59.13	125.24	78.89	38.67	155.5	114.36	117.6	39.5	50.63	35.5	43.32	27.44	127.0	120.94	173.85	76.17	130.6	105.89	71.5	176.29	84.63	130.6	67.59	65.26	134.3	137.14	117.6	114.36	78.34	209.84	133.36	57.49	87.03	65.26	105.15	48.18	29.48	126.12	118.43	94.67	123.5	146.03	127.89	90.77	78.34
GNA13	902.89	961.07	674.59	860.08	753.83	842.36	738.29	507.46	688.78	796.86	878.17	1225.22	1104.13	660.68	1175.27	848.22	802.41	1359.57	796.86	1340.84	1639.59	536.45	379.04	273.37	417.77	293.07	316.37	269.6	363.56	281.09	309.83	221.86	232.94	297.17	176.29	134.3	271.48	341.51	194.36	379.04	223.41	368.65	149.12	202.66	256.78	339.14	165.57	363.56	312.0	332.14	154.42	251.48	277.2	356.05	218.79	312.0	127.89	339.14	299.25	172.65	242.88	293.07	395.18	269.6	182.55	205.5	273.37	229.72	312.0	314.17	387.02	267.73	226.54	228.13	255.0	242.88	212.78	346.29	289.02	291.04	318.57	204.07	381.68	336.79	218.79	351.14	260.38	255.0	249.73	320.8	273.37	463.65	325.29	229.72	277.2	183.82	249.73	334.46	368.65	353.59	246.28	301.33	289.02	299.25	201.25	366.09	339.14	426.57	180.02	269.6	414.87	297.17	287.01	220.32	688.78	366.09	435.55	318.57
GNAI3	1467.37	1617.0	2335.28	2335.28	1583.71	928.3	1268.46	1051.79	1359.57	1340.84	1199.98	1073.91	1350.18	1340.84	1359.57	1073.91	1199.98	1023.0	1674.06	1369.04	1313.23	674.59	941.27	591.22	723.08	571.05	503.95	713.11	728.11	583.07	616.37	571.05	563.18	555.41	536.45	389.72	529.06	723.08	363.56	669.92	507.46	633.73	392.44	503.95	579.04	679.29	470.14	651.58	651.58	642.59	409.15	521.76	616.37	703.28	435.55	599.49	406.31	718.08	540.19	426.57	575.03	698.41	660.68	599.49	583.07	551.56	441.64	457.25	633.73	591.22	612.11	571.05	540.19	470.14	473.41	540.19	551.56	525.39	629.35	567.1	616.37	438.59	567.1	521.76	540.19	733.19	575.03	563.18	555.41	603.67	591.22	511.0	521.76	591.22	629.35	423.61	500.46	656.11	884.29	551.56	540.19	579.04	651.58	571.05	460.44	665.29	571.05	665.29	392.44	518.15	723.08	603.67	633.73	476.71	1378.57	775.05	748.61	759.08
GOLPH3L	1745.2	1417.35	665.29	1350.18	536.45	769.69	638.15	995.0	1350.18	854.13	660.68	414.87	1286.18	358.54	688.78	426.57	599.49	961.07	896.64	890.44	698.41	1135.2	1457.23	392.44	366.09	480.04	511.0	281.09	368.65	764.36	511.0	417.77	397.93	457.25	363.56	285.03	497.0	420.68	363.56	518.15	607.87	480.04	281.09	414.87	384.34	567.1	363.56	547.75	397.93	547.75	258.57	325.29	473.41	525.39	336.79	457.25	291.04	583.07	543.96	397.93	480.04	500.46	629.35	426.57	500.46	332.14	312.0	332.14	384.34	470.14	438.59	420.68	368.65	373.81	493.56	426.57	353.59	450.94	500.46	473.41	612.11	414.87	878.17	435.55	432.53	567.1	318.57	363.56	480.04	583.07	507.46	693.58	665.29	414.87	463.65	316.37	303.44	400.71	435.55	551.56	387.02	379.04	429.54	438.59	279.14	457.25	417.77	507.46	412.0	514.56	591.22	457.25	633.73	291.04	412.0	723.08	703.28	591.22
GPR180	107.38	332.14	112.77	156.59	71.0	77.79	36.27	50.98	165.57	69.52	69.52	77.25	92.7	125.24	94.67	47.5	56.28	122.64	162.14	87.65	92.05	67.59	72.01	40.07	65.72	54.33	45.21	28.45	60.39	69.52	69.52	44.25	51.71	39.22	35.0	20.86	102.25	41.81	40.36	61.68	47.84	56.68	31.9	41.52	41.22	65.26	31.45	43.63	55.89	64.34	31.22	53.19	52.82	50.27	41.22	58.71	27.64	62.56	53.95	44.89	41.22	71.5	41.52	50.98	44.25	41.22	39.5	38.4	48.87	56.68	57.89	49.21	49.91	41.22	49.56	51.35	39.79	53.95	52.82	60.39	73.03	34.75	77.79	64.34	50.63	53.19	31.22	34.75	52.08	57.49	57.89	61.25	50.63	47.5	56.68	46.18	46.18	47.5	58.71	40.64	35.25	46.5	57.49	41.52	35.5	48.52	58.71	62.12	41.52	43.94	62.12	54.33	49.56	50.27	83.45	110.43	77.25	65.26
GTF2H3	679.29	466.88	346.29	629.35	583.07	403.5	301.33	314.17	473.41	642.59	368.65	629.35	679.29	896.64	836.53	713.11	555.41	435.55	571.05	595.34	819.3	532.74	460.44	208.38	242.88	206.94	231.32	211.31	283.05	289.02	236.21	269.6	229.72	215.77	194.36	121.79	217.27	199.85	177.53	246.28	236.21	325.29	169.07	158.79	183.82	356.05	218.79	255.0	221.86	194.36	195.72	198.47	211.31	291.04	177.53	224.97	139.07	231.32	211.31	193.01	236.21	262.2	260.38	202.66	147.06	198.47	165.57	144.01	194.36	226.54	301.33	201.25	283.05	181.28	244.57	198.47	173.85	277.2	271.48	279.14	260.38	228.13	242.88	199.85	206.94	289.02	223.41	214.27	239.52	336.79	320.8	244.57	339.14	201.25	209.84	182.55	202.66	269.6	229.72	281.09	251.48	191.67	301.33	237.86	147.06	316.37	275.28	346.29	165.57	149.12	327.56	295.11	202.66	228.13	403.5	483.38	239.52	320.8
GTPBP10	373.81	384.34	511.0	967.76	334.46	406.31	299.25	403.5	500.46	518.15	384.34	397.93	409.15	457.25	351.14	759.08	373.81	217.27	244.57	255.0	358.54	426.57	915.51	204.07	575.03	199.85	289.02	277.2	246.28	281.09	295.11	262.2	221.86	251.48	214.27	197.09	521.76	226.54	229.72	246.28	221.86	267.73	197.09	204.07	241.19	273.37	242.88	206.94	193.01	218.79	183.82	226.54	193.01	237.86	237.86	289.02	241.19	248.0	248.0	262.2	221.86	249.73	212.78	199.85	159.9	214.27	220.32	267.73	208.38	208.38	209.84	244.57	211.31	190.34	229.72	303.44	172.65	244.57	277.2	246.28	237.86	224.97	262.2	251.48	242.88	303.44	171.45	201.25	229.72	291.04	262.2	275.28	229.72	255.0	231.32	228.13	217.27	279.14	246.28	191.67	229.72	154.42	236.21	212.78	241.19	205.5	205.5	231.32	251.48	181.28	271.48	229.72	258.57	256.78	248.0	255.0	224.97	242.88
HEATR1	525.39	514.56	307.69	941.27	275.28	480.04	348.71	258.57	312.0	329.84	543.96	412.0	323.03	329.84	493.56	293.07	209.84	291.04	246.28	204.07	303.44	780.44	514.56	137.14	143.01	164.42	116.78	118.43	158.79	159.9	172.65	146.03	115.97	132.44	108.9	93.35	138.1	96.68	74.58	161.02	108.14	180.02	90.77	90.14	109.66	201.25	89.51	224.97	139.07	120.1	96.68	87.65	151.22	149.12	117.6	112.77	82.29	152.28	96.01	108.9	119.26	156.59	214.27	115.16	82.29	92.7	106.63	104.42	115.16	171.45	159.9	143.01	151.22	98.73	136.19	132.44	65.26	169.07	149.12	165.57	120.94	126.12	176.29	95.34	88.26	136.19	124.37	115.97	165.57	175.07	152.28	132.44	217.27	121.79	158.79	94.67	88.26	140.04	145.02	183.82	130.6	133.36	149.12	164.42	108.9	132.44	178.77	186.4	84.63	94.01	190.34	169.07	178.77	125.24	251.48	198.47	177.53	165.57
IARS2	2209.26	5995.9	1529.73	1304.15	1259.69	1477.58	1674.06	1369.04	1936.53	1551.09	2400.97	1286.18	1896.65	1950.0	2148.82	934.76	1119.56	1183.45	1427.22	1216.75	1819.35	1225.22	1437.15	825.0	1447.15	825.0	698.41	1369.04	896.64	693.58	915.51	848.22	775.05	848.22	808.0	607.87	1561.89	981.29	616.37	836.53	1030.12	902.89	454.09	718.08	616.37	1088.92	629.35	854.13	808.0	1111.82	591.22	599.49	860.08	872.1	612.11	1208.34	612.11	902.89	961.07	759.08	665.29	909.17	878.17	775.05	708.18	620.67	591.22	599.49	660.68	921.88	836.53	954.43	902.89	575.03	738.29	854.13	587.13	928.3	802.41	830.75	1008.9	688.78	974.5	967.76	733.19	1081.39	1167.14	674.59	896.64	825.0	802.41	1143.1	890.44	748.61	728.11	612.11	825.0	884.29	878.17	1208.34	866.07	669.92	813.63	753.83	642.59	753.83	921.88	967.76	521.76	738.29	988.12	890.44	1044.52	813.63	1159.07	928.3	909.17	1030.12
ICK	221.86	128.79	211.31	209.84	144.01	209.84	162.14	226.54	256.78	336.79	131.51	175.07	220.32	144.01	295.11	145.02	158.79	185.11	182.55	267.73	193.01	170.25	223.41	108.14	120.94	98.04	92.05	85.82	129.69	112.77	125.24	87.03	88.26	74.58	67.59	40.93	98.04	87.03	55.89	110.43	93.35	110.43	58.71	95.34	85.82	123.5	65.26	96.68	83.45	88.88	42.71	81.71	96.01	103.69	77.25	99.43	60.39	82.29	94.67	59.13	74.06	94.67	106.63	88.26	77.79	91.41	77.79	67.12	75.64	101.54	95.34	98.73	90.77	74.58	82.29	79.45	67.12	120.1	94.01	83.45	89.51	92.7	97.36	85.82	79.45	72.01	48.87	80.01	83.45	81.71	99.43	92.05	122.64	77.79	93.35	67.59	72.52	84.04	94.67	82.87	92.05	65.72	99.43	99.43	74.58	98.73	92.05	103.69	82.29	84.04	111.21	116.78	87.65	78.34	149.12	164.42	127.0	87.65
ICMT	1081.39	1119.56	1806.78	1540.37	1127.35	764.36	915.51	1175.27	967.76	1066.48	802.41	836.53	642.59	1250.98	848.22	759.08	974.5	808.0	1250.98	1605.83	842.36	1277.29	1059.11	733.19	629.35	603.67	567.1	713.11	769.69	1001.93	728.11	624.99	551.56	638.15	529.06	543.96	591.22	688.78	435.55	679.29	514.56	656.11	555.41	624.99	693.58	974.5	551.56	674.59	748.61	764.36	575.03	785.88	733.19	728.11	432.53	802.41	532.74	336.79	679.29	660.68	718.08	928.3	728.11	967.76	1008.9	890.44	713.11	518.15	629.35	848.22	723.08	612.11	830.75	665.29	466.88	547.75	595.34	620.67	791.35	674.59	902.89	647.07	775.05	674.59	616.37	559.28	743.43	518.15	728.11	780.44	507.46	703.28	842.36	647.07	708.18	624.99	612.11	688.78	693.58	591.22	651.58	660.68	669.92	759.08	525.39	974.5	624.99	808.0	647.07	791.35	785.88	620.67	612.11	629.35	759.08	830.75	684.02	813.63
IFRG15	314.17	356.05	155.5	473.41	182.55	172.65	190.34	161.02	189.02	134.3	361.04	157.68	249.73	67.59	251.48	86.43	167.9	173.85	119.26	191.67	258.57	476.71	212.78	5.45	17.77	38.12	32.13	62.12	20.26	55.49	37.59	25.17	2.32	22.43	0.0	17.13	9.56	9.41	0.45	50.63	15.0	82.87	15.68	0.0	0.0	83.45	6.57	81.71	23.76	48.52	0.0	22.43	12.74	17.38	17.9	71.5	0.0	50.27	0.0	16.75	80.01	35.25	102.97	54.33	0.0	5.68	0.0	0.0	0.0	63.89	71.0	5.41	40.07	43.94	21.32	3.32	0.0	52.08	49.21	40.93	38.12	39.79	76.17	14.03	23.59	77.25	20.41	2.2	48.52	119.26	90.14	41.22	197.09	12.55	9.2	0.0	0.0	44.57	15.56	44.57	17.9	0.95	58.3	89.51	15.34	92.7	27.84	83.45	15.68	20.41	76.17	53.57	56.28	14.24	52.08	373.81	117.6	23.76
INCENP	341.51	547.75	633.73	780.44	323.03	490.14	438.59	395.18	316.37	486.75	532.74	486.75	518.15	890.44	423.61	587.13	211.31	480.04	387.02	521.76	414.87	514.56	624.99	438.59	119.26	190.34	164.42	91.41	156.59	559.28	177.53	281.09	131.51	138.1	102.25	153.34	379.04	231.32	173.85	171.45	244.57	187.71	59.13	232.94	156.59	187.71	90.77	201.25	156.59	189.02	126.12	150.17	153.34	234.57	239.52	249.73	90.14	242.88	154.42	226.54	162.14	253.23	361.04	239.52	291.04	217.27	169.07	71.0	120.1	182.55	249.73	183.82	248.0	190.34	178.77	145.02	87.65	301.33	183.82	234.57	178.77	157.68	186.4	116.78	130.6	189.02	85.22	124.37	149.12	189.02	122.64	260.38	332.14	142.01	194.36	209.84	112.77	193.01	109.66	204.07	197.09	146.03	221.86	249.73	123.5	241.19	397.93	253.23	152.28	267.73	255.0	125.24	173.85	143.01	314.17	258.57	228.13	450.94
ISG20L2	1225.22	1685.71	1378.57	1519.15	591.22	660.68	915.51	642.59	981.29	896.64	1199.98	713.11	1685.71	974.5	1104.13	551.56	723.08	928.3	854.13	947.83	830.75	1745.2	1277.29	356.05	289.02	223.41	348.71	264.03	314.17	312.0	253.23	231.32	239.52	275.28	206.94	149.12	229.72	258.57	171.45	273.37	246.28	339.14	228.13	229.72	239.52	309.83	341.51	381.68	262.2	265.87	223.41	217.27	293.07	295.11	205.5	297.17	209.84	305.55	297.17	215.77	301.33	269.6	332.14	228.13	201.25	204.07	182.55	154.42	258.57	323.03	307.69	242.88	271.48	234.57	269.6	185.11	273.37	275.28	234.57	232.94	283.05	323.03	325.29	204.07	253.23	273.37	191.67	221.86	249.73	269.6	287.01	312.0	400.71	214.27	269.6	138.1	214.27	204.07	197.09	289.02	249.73	283.05	265.87	312.0	234.57	400.71	303.44	332.14	316.37	228.13	312.0	316.37	265.87	217.27	483.38	450.94	540.19	559.28
KCTD20	1073.91	679.29	808.0	1208.34	961.07	848.22	651.58	660.68	708.18	612.11	718.08	934.76	703.28	325.29	780.44	343.89	674.59	579.04	961.07	693.58	759.08	412.0	547.75	309.83	423.61	267.73	269.6	277.2	420.68	334.46	363.56	289.02	242.88	314.17	224.97	180.02	277.2	287.01	204.07	329.84	231.32	327.56	185.11	265.87	228.13	417.77	228.13	409.15	312.0	265.87	228.13	269.6	339.14	371.22	223.41	336.79	194.36	346.29	303.44	212.78	262.2	346.29	376.41	291.04	186.4	269.6	223.41	180.02	244.57	291.04	339.14	279.14	297.17	209.84	269.6	217.27	214.27	361.04	285.03	253.23	320.8	262.2	351.14	262.2	226.54	316.37	246.28	228.13	253.23	329.84	285.03	371.22	373.81	239.52	287.01	187.71	251.48	316.37	271.48	289.02	327.56	301.33	301.33	297.17	281.09	332.14	346.29	376.41	221.86	269.6	414.87	327.56	368.65	255.0	547.75	432.53	329.84	368.65
KDM5A	368.65	633.73	305.55	348.71	417.77	314.17	412.0	323.03	323.03	616.37	312.0	603.67	236.21	432.53	540.19	395.18	279.14	327.56	341.51	371.22	366.09	341.51	371.22	249.73	158.79	147.06	164.42	151.22	221.86	267.73	195.72	165.57	134.3	161.02	115.16	109.66	142.01	143.01	98.73	231.32	148.09	244.57	93.35	119.26	118.43	309.83	132.44	293.07	199.85	162.14	121.79	126.12	231.32	248.0	135.24	194.36	107.38	173.85	145.02	120.1	165.57	224.97	400.71	193.01	118.43	139.07	117.6	111.21	164.42	221.86	244.57	161.02	201.25	139.07	146.03	158.79	108.14	208.38	178.77	206.94	177.53	170.25	231.32	137.14	130.6	153.34	142.01	165.57	165.57	229.72	166.73	214.27	303.44	139.07	176.29	113.56	117.6	172.65	169.07	182.55	157.68	178.77	187.71	232.94	127.0	194.36	178.77	275.28	119.26	137.14	269.6	193.01	173.85	153.34	341.51	343.89	237.86	182.55
KDM5B	1909.85	1769.57	1697.45	1950.0	397.93	647.07	1008.9	808.0	941.27	915.51	669.92	660.68	708.18	884.29	995.0	669.92	669.92	738.29	890.44	808.0	647.07	733.19	599.49	307.69	220.32	371.22	309.83	181.28	389.72	353.59	387.02	351.14	303.44	269.6	329.84	312.0	189.02	218.79	269.6	497.0	202.66	426.57	316.37	226.54	309.83	447.82	271.48	575.03	441.64	297.17	301.33	215.77	486.75	450.94	358.54	223.41	241.19	339.14	204.07	236.21	341.51	444.72	571.05	224.97	177.53	215.77	221.86	229.72	303.44	397.93	348.71	400.71	346.29	348.71	334.46	314.17	229.72	454.09	343.89	409.15	256.78	373.81	293.07	189.02	242.88	275.28	246.28	336.79	381.68	387.02	371.22	236.21	441.64	312.0	432.53	267.73	228.13	336.79	435.55	470.14	346.29	371.22	384.34	371.22	307.69	277.2	361.04	412.0	220.32	202.66	429.54	381.68	493.56	246.28	669.92	444.72	438.59	327.56
KIAA1715	447.82	928.3	295.11	665.29	348.71	255.0	476.71	299.25	400.71	387.02	363.56	473.41	417.77	406.31	348.71	199.85	314.17	316.37	232.94	543.96	599.49	177.53	135.24	154.42	180.02	92.7	87.03	130.6	135.24	140.04	154.42	94.01	100.13	90.14	72.01	57.49	122.64	128.79	68.55	112.77	122.64	118.43	58.71	110.43	105.89	170.25	60.82	96.01	102.97	137.14	52.45	82.29	111.21	106.63	80.01	175.07	73.54	128.79	123.5	78.89	73.54	162.14	112.77	122.64	129.69	98.04	92.7	61.68	99.43	141.02	155.5	92.05	108.9	62.56	97.36	119.26	78.89	103.69	113.56	104.42	170.25	82.29	161.02	79.45	123.5	134.3	88.26	73.03	102.25	142.01	93.35	125.24	135.24	88.26	96.01	80.01	96.01	114.36	123.5	92.7	87.03	73.03	102.97	137.14	85.82	146.03	127.89	181.28	72.52	105.89	129.69	101.54	114.36	108.14	212.78	176.29	112.77	140.04
KIF16B	295.11	387.02	267.73	172.65	206.94	170.25	194.36	177.53	267.73	248.0	267.73	251.48	224.97	218.79	384.34	373.81	157.68	177.53	84.63	129.69	303.44	98.04	125.24	208.38	124.37	103.69	142.01	121.79	114.36	256.78	126.12	103.69	92.05	108.9	72.52	78.34	177.53	108.14	82.87	135.24	178.77	114.36	83.45	149.12	125.24	120.1	118.43	127.0	100.13	128.79	102.97	102.25	101.54	137.14	109.66	152.28	63.0	120.1	136.19	105.89	115.16	108.14	152.28	133.36	129.69	141.02	78.34	63.45	102.97	127.89	153.34	104.42	111.21	122.64	141.02	136.19	134.3	115.97	138.1	113.56	134.3	133.36	127.89	86.43	127.0	110.43	74.06	107.38	116.78	98.73	132.44	124.37	161.02	94.67	98.04	71.5	79.45	87.65	94.01	127.0	135.24	108.14	151.22	155.5	78.34	149.12	143.01	134.3	99.43	136.19	115.97	136.19	85.82	105.15	146.03	201.25	155.5	151.22
KIF2A	473.41	607.87	429.54	551.56	476.71	444.72	297.17	312.0	457.25	371.22	307.69	500.46	351.14	400.71	444.72	497.0	309.83	348.71	400.71	395.18	775.05	267.73	314.17	193.01	209.84	137.14	129.69	111.21	205.5	182.55	189.02	158.79	123.5	117.6	99.43	90.14	180.02	142.01	93.35	226.54	126.12	212.78	78.89	89.51	101.54	279.14	111.21	241.19	182.55	147.06	97.36	100.13	194.36	206.94	91.41	164.42	84.63	155.5	137.14	113.56	146.03	224.97	299.25	159.9	92.05	80.57	69.52	62.12	157.68	198.47	211.31	127.0	195.72	92.05	152.28	120.94	87.65	173.85	182.55	180.02	189.02	137.14	211.31	122.64	124.37	186.4	158.79	149.12	169.07	231.32	169.07	195.72	283.05	96.01	189.02	73.03	101.54	197.09	173.85	195.72	162.14	167.9	177.53	186.4	95.34	173.85	183.82	234.57	96.68	101.54	267.73	186.4	138.1	158.79	329.84	299.25	191.67	262.2
KLHL12	1037.29	1001.93	713.11	866.07	483.38	457.25	591.22	669.92	884.29	651.58	521.76	555.41	476.71	647.07	796.86	518.15	547.75	536.45	633.73	825.0	693.58	693.58	511.0	466.88	669.92	444.72	444.72	518.15	457.25	483.38	514.56	493.56	444.72	555.41	409.15	366.09	493.56	466.88	423.61	480.04	435.55	490.14	392.44	420.68	521.76	507.46	400.71	507.46	414.87	620.67	371.22	403.5	466.88	417.77	397.93	587.13	435.55	447.82	514.56	463.65	470.14	435.55	521.76	529.06	444.72	441.64	447.82	447.82	483.38	450.94	476.71	563.18	414.87	412.0	466.88	497.0	392.44	450.94	441.64	525.39	547.75	417.77	555.41	480.04	414.87	555.41	616.37	493.56	463.65	438.59	503.95	563.18	583.07	447.82	432.53	348.71	486.75	466.88	547.75	638.15	463.65	351.14	480.04	473.41	423.61	435.55	480.04	500.46	397.93	514.56	525.39	503.95	583.07	438.59	444.72	571.05	511.0	441.64
