	TCGA.EW.A1J5.01A.11R.A13Q.07	TCGA.A8.A08C.01A.11R.A00Z.07	TCGA.A7.A13G.01A.11R.A13Q.07	TCGA.BH.A0DP.01A.21R.A056.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.A8.A099.01A.11R.A00Z.07	TCGA.A2.A0YD.01A.11R.A109.07	TCGA.A7.A0CH.01A.21R.A00Z.07	TCGA.A2.A0T5.01A.21R.A084.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.BH.A0BD.01A.11R.A034.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A8.A093.01A.11R.A00Z.07	TCGA.BH.A1FL.01A.11R.A13Q.07	TCGA.BH.A1FJ.01A.11R.A13Q.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.E2.A15J.01A.11R.A12P.07	TCGA.E2.A15G.01A.11R.A12D.07	TCGA.E9.A249.01A.11R.A169.07	TCGA.C8.A274.01A.11R.A16F.07	TCGA.BH.A28Q.01A.11R.A16F.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.A1.A0SE.01A.11R.A084.07	TCGA.AR.A1AV.01A.21R.A12P.07	TCGA.OL.A6VQ.01A.12R.A41B.07	TCGA.A2.A0D3.01A.11R.A115.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.AO.A0J8.01A.21R.A034.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.AR.A24P.01A.11R.A169.07	TCGA.B6.A0RP.01A.21R.A084.07	TCGA.AQ.A1H3.01A.31R.A13Q.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.XBED.1126.SM.48TCF	GTEX.12BJ1.1426.SM.5BC5Q	GTEX.PWOO.1026.SM.48TCN	GTEX.XBED.0926.SM.48TCE	GTEX.12WSL.1326.SM.5LZVW	GTEX.14C5O.1726.SM.5RQI9	GTEX.S3XE.0826.SM.4AD4U	GTEX.1211K.1026.SM.5EQ4B	GTEX.QDVJ.0826.SM.48U1S	GTEX.S4Q7.0526.SM.4AD5N	GTEX.O5YT.0726.SM.3MJHA	GTEX.13CF3.1526.SM.5J2NB	GTEX.11EM3.0726.SM.5GZZM	GTEX.145ME.0626.SM.5O99Q	GTEX.RUSQ.0926.SM.47JWU	GTEX.QDVN.1126.SM.48TZ7	GTEX.Q2AH.1026.SM.48TZI	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.DD.A1EA.01A.11R.A131.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.LG.A9QC.01A.11R.A37K.07	TCGA.DD.AACA.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.XR.A8TE.01A.11R.A36F.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.DD.A73E.01A.12R.A32O.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A4NF.01A.11R.A27V.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.DD.AADD.01A.11R.A41C.07	TCGA.EP.A26S.01A.11R.A16W.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.G3.A3CK.01A.11R.A213.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.FV.A4ZQ.01A.11R.A266.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.SJXC.1226.SM.4DM78	GTEX.ZZPU.0426.SM.5GZYH
PIGC	1268.46	1268.46	1340.84	1498.22	1167.14	1745.2	1331.57	1605.83	1757.34	1819.35	1477.58	1208.34	1991.0	775.05	1617.0	1051.79	1295.13	2209.26	1001.93	1369.04	1250.98	1081.39	1540.37	2032.85	1340.84	896.64	1594.73	1015.93	961.07	1806.78	1437.15	1199.98	1857.6	995.0	1111.82	1322.37	1617.0	1242.34	2119.22	575.03	540.19	500.46	540.19	587.13	532.74	397.93	543.96	532.74	536.45	612.11	536.45	473.41	507.46	470.14	457.25	587.13	559.28	642.59	947.83	1037.29	848.22	616.37	665.29	633.73	813.63	624.99	1051.79	389.72	684.02	651.58	1167.14	616.37	633.73	764.36	921.88	656.11	808.0	954.43	860.08	684.02	1051.79	497.0	775.05	796.86	860.08	651.58	587.13	1467.37	915.51	1487.87	638.15	988.12	813.63	454.09	866.07	547.75	764.36	314.17	420.68
PIGM	267.73	412.0	450.94	389.72	373.81	713.11	346.29	466.88	277.2	255.0	297.17	373.81	334.46	208.38	514.56	389.72	371.22	591.22	346.29	293.07	239.52	348.71	297.17	503.95	371.22	387.02	273.37	346.29	223.41	320.8	307.69	647.07	368.65	281.09	373.81	356.05	493.56	299.25	563.18	91.41	84.63	70.51	108.9	81.71	90.14	66.65	102.97	90.77	98.04	106.63	84.04	75.11	84.04	73.54	78.34	110.43	71.0	137.14	145.02	318.57	104.42	166.73	53.95	98.73	84.63	178.77	155.5	103.69	143.01	162.14	251.48	109.66	166.73	158.79	164.42	161.02	255.0	169.07	166.73	231.32	152.28	107.38	114.36	204.07	189.02	193.01	127.0	191.67	163.28	218.79	177.53	176.29	185.11	91.41	267.73	95.34	142.01	69.52	119.26
PIGO	909.17	1023.0	921.88	713.11	780.44	1088.92	819.3	748.61	616.37	802.41	607.87	813.63	860.08	583.07	995.0	934.76	860.08	764.36	1111.82	780.44	656.11	780.44	624.99	860.08	878.17	575.03	884.29	728.11	708.18	753.83	583.07	612.11	830.75	507.46	988.12	813.63	718.08	723.08	813.63	392.44	341.51	265.87	348.71	348.71	323.03	195.72	460.44	358.54	435.55	420.68	314.17	327.56	323.03	214.27	303.44	438.59	314.17	426.57	463.65	575.03	579.04	466.88	813.63	555.41	540.19	381.68	738.29	651.58	559.28	753.83	713.11	454.09	728.11	571.05	511.0	813.63	713.11	642.59	529.06	438.59	525.39	500.46	753.83	693.58	616.37	486.75	819.3	599.49	420.68	713.11	616.37	426.57	414.87	429.54	651.58	503.95	503.95	748.61	575.03
POLR3C	1199.98	967.76	1015.93	1037.29	808.0	1159.07	1378.57	915.51	1159.07	854.13	743.43	802.41	1295.13	669.92	974.5	1104.13	1001.93	1073.91	1008.9	1073.91	974.5	866.07	941.27	1001.93	988.12	1259.69	1044.52	1159.07	785.88	1208.34	1051.79	1037.29	909.17	780.44	878.17	878.17	872.1	928.3	1127.35	642.59	525.39	473.41	414.87	476.71	497.0	429.54	551.56	536.45	514.56	571.05	460.44	438.59	511.0	559.28	514.56	547.75	525.39	242.88	426.57	633.73	435.55	246.28	392.44	332.14	214.27	318.57	305.55	265.87	332.14	277.2	703.28	299.25	201.25	395.18	285.03	323.03	412.0	194.36	518.15	363.56	423.61	295.11	309.83	387.02	473.41	414.87	303.44	674.59	366.09	660.68	438.59	441.64	381.68	224.97	679.29	269.6	368.65	131.51	242.88
PRPF4	511.0	518.15	511.0	387.02	450.94	514.56	503.95	529.06	688.78	529.06	432.53	624.99	551.56	507.46	423.61	854.13	1159.07	441.64	460.44	540.19	555.41	500.46	708.18	540.19	796.86	579.04	693.58	460.44	540.19	902.89	1073.91	563.18	718.08	395.18	575.03	642.59	403.5	775.05	423.61	281.09	348.71	438.59	371.22	339.14	327.56	258.57	409.15	351.14	353.59	460.44	341.51	353.59	353.59	366.09	305.55	373.81	353.59	316.37	293.07	264.03	273.37	244.57	314.17	293.07	211.31	351.14	275.28	241.19	329.84	217.27	318.57	297.17	343.89	363.56	251.48	205.5	384.34	267.73	285.03	267.73	241.19	234.57	180.02	346.29	412.0	246.28	258.57	366.09	346.29	336.79	314.17	429.54	221.86	275.28	500.46	309.83	205.5	189.02	320.8
PRUNE	1605.83	1457.23	1844.76	1242.34	1369.04	1745.2	1662.49	1397.83	1427.22	1594.73	947.83	1674.06	1883.54	713.11	1417.35	1529.73	1781.89	1651.0	1313.23	1508.65	1250.98	1350.18	1350.18	1651.0	1369.04	954.43	1857.6	1175.27	1340.84	1529.73	1250.98	1331.57	1733.13	1340.84	1583.71	1467.37	1519.15	1457.23	1437.15	387.02	267.73	221.86	381.68	309.83	381.68	332.14	368.65	381.68	281.09	301.33	339.14	368.65	285.03	309.83	381.68	329.84	341.51	444.72	529.06	1037.29	412.0	603.67	551.56	381.68	389.72	334.46	497.0	226.54	995.0	551.56	825.0	555.41	656.11	493.56	1322.37	444.72	368.65	988.12	759.08	909.17	1135.2	470.14	802.41	555.41	878.17	947.83	231.32	1030.12	1191.69	1233.75	819.3	483.38	518.15	426.57	830.75	371.22	384.34	262.2	336.79
PYGO2	1662.49	1709.26	1540.37	1286.18	1216.75	1388.16	1487.87	1709.26	1159.07	1639.59	1216.75	1127.35	1721.16	780.44	1242.34	1388.16	1844.76	1794.29	1225.22	1883.54	1457.23	1551.09	1233.75	1498.22	1407.55	1037.29	1295.13	1295.13	1088.92	1794.29	1437.15	785.88	1697.45	1457.23	1044.52	1175.27	1639.59	1487.87	1896.65	493.56	507.46	379.04	718.08	493.56	733.19	511.0	480.04	693.58	540.19	575.03	679.29	476.71	309.83	514.56	669.92	669.92	642.59	460.44	647.07	708.18	486.75	620.67	483.38	591.22	733.19	583.07	693.58	412.0	743.43	583.07	896.64	693.58	651.58	603.67	647.07	536.45	1304.15	624.99	587.13	547.75	848.22	511.0	521.76	595.34	974.5	651.58	563.18	802.41	791.35	1225.22	808.0	559.28	708.18	346.29	1322.37	620.67	525.39	242.88	182.55
RAB3GAP2	748.61	679.29	480.04	466.88	336.79	738.29	629.35	599.49	438.59	397.93	236.21	674.59	575.03	389.72	567.1	432.53	483.38	866.07	532.74	514.56	521.76	406.31	476.71	808.0	412.0	473.41	429.54	674.59	389.72	633.73	651.58	1143.1	463.65	473.41	532.74	698.41	441.64	599.49	921.88	248.0	297.17	248.0	287.01	320.8	231.32	297.17	283.05	224.97	277.2	241.19	271.48	212.78	228.13	229.72	358.54	215.77	228.13	114.36	190.34	348.71	217.27	224.97	208.38	161.02	159.9	190.34	205.5	103.69	175.07	146.03	473.41	190.34	205.5	256.78	289.02	248.0	275.28	189.02	256.78	224.97	248.0	101.54	154.42	248.0	371.22	246.28	177.53	293.07	217.27	309.83	170.25	231.32	232.94	154.42	486.75	161.02	159.9	72.52	94.01
RABIF	363.56	343.89	483.38	264.03	312.0	563.18	356.05	420.68	348.71	297.17	426.57	376.41	511.0	301.33	438.59	332.14	358.54	543.96	392.44	314.17	316.37	309.83	381.68	490.14	279.14	336.79	320.8	303.44	260.38	441.64	343.89	332.14	348.71	373.81	497.0	305.55	297.17	320.8	571.05	92.7	63.45	98.73	110.43	87.65	125.24	58.71	110.43	94.67	138.1	89.51	127.0	100.83	78.89	100.13	110.43	83.45	120.94	180.02	169.07	175.07	214.27	153.34	264.03	125.24	231.32	242.88	201.25	118.43	220.32	146.03	314.17	155.5	267.73	175.07	289.02	133.36	232.94	154.42	195.72	144.01	283.05	178.77	223.41	287.01	246.28	157.68	153.34	277.2	121.79	356.05	234.57	303.44	143.01	131.51	325.29	175.07	186.4	84.63	131.51
RALGPS2	703.28	718.08	1104.13	791.35	620.67	1208.34	1340.84	1259.69	532.74	441.64	447.82	796.86	902.89	438.59	1073.91	915.51	521.76	1340.84	854.13	1304.15	351.14	1119.56	743.43	1225.22	660.68	967.76	813.63	848.22	872.1	429.54	1096.5	2609.3	1151.06	567.1	1191.69	1159.07	819.3	748.61	1023.0	23.76	111.99	42.71	67.59	76.71	88.26	128.79	145.02	107.38	71.5	92.7	110.43	71.0	117.6	108.14	73.03	71.5	40.36	141.02	177.53	890.44	511.0	351.14	92.05	507.46	500.46	638.15	351.14	155.5	258.57	356.05	429.54	397.93	486.75	629.35	536.45	417.77	669.92	420.68	336.79	392.44	633.73	267.73	246.28	703.28	1119.56	540.19	136.19	395.18	647.07	329.84	438.59	229.72	295.11	217.27	299.25	341.51	197.09	244.57	373.81
RBBP5	466.88	612.11	447.82	403.5	384.34	579.04	547.75	532.74	450.94	325.29	271.48	587.13	567.1	297.17	567.1	447.82	480.04	688.78	480.04	638.15	412.0	460.44	466.88	575.03	486.75	327.56	389.72	490.14	305.55	567.1	543.96	802.41	521.76	447.82	559.28	490.14	480.04	497.0	769.69	189.02	133.36	146.03	176.29	130.6	155.5	106.63	135.24	121.79	155.5	128.79	130.6	103.69	77.79	131.51	191.67	140.04	202.66	115.97	244.57	432.53	153.34	237.86	214.27	144.01	171.45	169.07	195.72	103.69	178.77	204.07	368.65	159.9	228.13	194.36	241.19	201.25	291.04	271.48	253.23	273.37	232.94	120.1	138.1	212.78	356.05	220.32	158.79	281.09	325.29	297.17	191.67	285.03	217.27	129.69	379.04	123.5	211.31	110.43	132.44
RBM34	2351.53	2335.28	2468.49	2520.38	1883.54	3168.41	1651.0	2758.13	3515.68	3039.3	1583.71	2047.0	3395.89	1605.83	3280.18	2537.92	2664.15	3491.39	2240.11	2240.11	3124.78	2240.11	3443.31	3018.3	2240.11	1551.09	1883.54	1977.24	1477.58	3081.75	3190.46	1437.15	2739.08	2047.0	2555.58	2335.28	2090.03	1991.0	3419.52	1551.09	1685.71	1350.18	1572.76	1617.0	1447.15	1143.1	1304.15	1167.14	1388.16	1313.23	1295.13	1331.57	1295.13	1437.15	1378.57	1304.15	1183.45	1143.1	1378.57	1745.2	1674.06	1023.0	1628.26	1044.52	2032.85	1467.37	1015.93	1167.14	1268.46	1151.06	1923.14	1417.35	1111.82	1233.75	2119.22	1111.82	1832.01	1909.85	1896.65	1529.73	1883.54	1674.06	1594.73	2133.97	1617.0	1457.23	1295.13	1950.0	1159.07	3665.02	1359.57	2645.74	1498.22	1059.11	1628.26	1259.69	1233.75	503.95	587.13
RCOR3	3491.39	1697.45	1936.53	1191.69	1059.11	1540.37	1923.14	1733.13	884.29	1508.65	796.86	1467.37	1417.35	698.41	2075.59	1477.58	1551.09	3349.13	2119.22	2047.0	1378.57	1662.49	1159.07	1617.0	1437.15	1159.07	878.17	3103.19	1216.75	1242.34	1073.91	1794.29	1651.0	1104.13	1369.04	1259.69	1457.23	1119.56	1896.65	825.0	718.08	511.0	620.67	595.34	607.87	764.36	470.14	718.08	616.37	460.44	587.13	587.13	470.14	684.02	669.92	733.19	629.35	281.09	490.14	854.13	400.71	420.68	688.78	361.04	591.22	669.92	529.06	223.41	500.46	444.72	813.63	444.72	583.07	679.29	848.22	454.09	703.28	743.43	718.08	435.55	753.83	366.09	397.93	769.69	802.41	674.59	432.53	718.08	684.02	848.22	457.25	638.15	571.05	297.17	902.89	387.02	470.14	299.25	323.03
RFT1	656.11	708.18	395.18	503.95	525.39	547.75	450.94	466.88	656.11	543.96	414.87	723.08	529.06	447.82	503.95	595.34	665.29	575.03	607.87	441.64	587.13	480.04	559.28	503.95	525.39	460.44	555.41	417.77	460.44	540.19	603.67	237.86	595.34	460.44	547.75	684.02	543.96	575.03	392.44	226.54	228.13	229.72	229.72	229.72	275.28	152.28	314.17	208.38	262.2	267.73	251.48	279.14	191.67	177.53	305.55	236.21	134.3	329.84	323.03	353.59	236.21	301.33	98.73	381.68	450.94	244.57	341.51	297.17	348.71	279.14	387.02	248.0	368.65	323.03	190.34	346.29	441.64	381.68	373.81	363.56	229.72	258.57	260.38	239.52	395.18	392.44	384.34	612.11	346.29	273.37	381.68	429.54	387.02	253.23	329.84	309.83	358.54	194.36	358.54
RMI1	314.17	406.31	301.33	239.52	206.94	273.37	187.71	373.81	229.72	256.78	228.13	329.84	244.57	193.01	314.17	426.57	267.73	511.0	265.87	301.33	303.44	242.88	265.87	260.38	334.46	223.41	262.2	297.17	146.03	231.32	289.02	260.38	221.86	193.01	417.77	309.83	208.38	325.29	295.11	82.87	75.11	52.45	156.59	100.83	87.03	68.07	105.15	78.89	83.45	81.71	136.19	78.89	67.12	62.56	101.54	87.65	84.04	87.65	165.57	147.06	142.01	123.5	126.12	153.34	74.58	66.18	104.42	66.18	97.36	105.89	161.02	161.02	111.21	108.14	101.54	88.26	176.29	115.97	102.97	115.97	122.64	34.75	76.17	85.82	361.04	231.32	96.68	191.67	193.01	127.0	127.0	156.59	91.41	63.89	356.05	113.56	123.5	43.94	71.0
RNF2	281.09	759.08	1388.16	934.76	1030.12	1721.16	780.44	947.83	591.22	651.58	540.19	629.35	264.03	669.92	1073.91	1225.22	884.29	127.89	836.53	1175.27	587.13	1030.12	511.0	848.22	775.05	713.11	1015.93	988.12	656.11	532.74	1023.0	1340.84	1015.93	813.63	1572.76	607.87	759.08	490.14	902.89	187.71	110.43	156.59	165.57	119.26	162.14	212.78	143.01	147.06	126.12	100.13	172.65	121.79	120.94	122.64	131.51	130.6	115.16	111.21	19.97	27.25	195.72	177.53	23.25	120.1	165.57	237.86	165.57	89.51	100.83	158.79	208.38	127.89	123.5	176.29	303.44	167.9	406.31	299.25	81.71	178.77	220.32	80.01	148.09	29.06	275.28	153.34	114.36	209.84	195.72	163.28	199.85	248.0	130.6	116.78	305.55	83.45	159.9	52.08	139.07
RNF20	842.36	1183.45	723.08	656.11	679.29	902.89	764.36	813.63	698.41	438.59	638.15	738.29	854.13	607.87	854.13	1008.9	728.11	872.1	759.08	1066.48	743.43	642.59	825.0	836.53	954.43	961.07	921.88	785.88	563.18	813.63	928.3	669.92	915.51	525.39	941.27	1030.12	688.78	947.83	1208.34	490.14	463.65	381.68	507.46	470.14	429.54	301.33	417.77	444.72	435.55	381.68	470.14	406.31	412.0	423.61	551.56	417.77	551.56	387.02	429.54	559.28	320.8	426.57	327.56	420.68	262.2	237.86	334.46	244.57	371.22	327.56	466.88	346.29	423.61	325.29	764.36	231.32	483.38	334.46	384.34	507.46	403.5	152.28	316.37	457.25	802.41	688.78	366.09	620.67	414.87	518.15	341.51	543.96	283.05	325.29	595.34	273.37	366.09	182.55	260.38
RPRD2	1277.29	1167.14	974.5	947.83	529.06	1143.1	1015.93	830.75	988.12	890.44	480.04	825.0	1295.13	454.09	928.3	934.76	1059.11	1167.14	753.83	1127.35	836.53	1008.9	669.92	1044.52	974.5	575.03	934.76	693.58	543.96	1233.75	866.07	532.74	1001.93	633.73	974.5	988.12	860.08	941.27	1216.75	361.04	470.14	305.55	371.22	490.14	447.82	312.0	397.93	432.53	379.04	363.56	435.55	316.37	426.57	368.65	470.14	470.14	497.0	173.85	271.48	587.13	201.25	273.37	285.03	221.86	176.29	287.01	201.25	212.78	267.73	229.72	536.45	256.78	218.79	341.51	435.55	283.05	403.5	356.05	273.37	239.52	403.5	122.64	217.27	373.81	423.61	532.74	147.06	327.56	356.05	381.68	339.14	185.11	226.54	161.02	470.14	183.82	175.07	136.19	237.86
RPS6KC1	536.45	480.04	490.14	384.34	262.2	470.14	500.46	400.71	193.01	239.52	232.94	483.38	387.02	226.54	463.65	318.57	447.82	514.56	327.56	353.59	236.21	283.05	356.05	423.61	358.54	429.54	305.55	400.71	256.78	229.72	346.29	813.63	358.54	387.02	486.75	351.14	329.84	262.2	591.22	148.09	269.6	273.37	255.0	267.73	221.86	194.36	242.88	221.86	226.54	232.94	255.0	241.19	262.2	249.73	231.32	191.67	289.02	109.66	163.28	291.04	124.37	144.01	153.34	104.42	158.79	155.5	176.29	97.36	152.28	132.44	269.6	84.63	173.85	176.29	248.0	181.28	327.56	187.71	236.21	177.53	183.82	77.79	140.04	190.34	256.78	166.73	117.6	256.78	231.32	275.28	108.14	361.04	198.47	112.77	211.31	220.32	146.03	59.97	62.12
RRP15	529.06	490.14	384.34	463.65	228.13	567.1	514.56	318.57	438.59	376.41	248.0	599.49	629.35	334.46	327.56	555.41	473.41	679.29	285.03	314.17	543.96	351.14	543.96	457.25	447.82	371.22	358.54	587.13	403.5	497.0	607.87	400.71	336.79	406.31	406.31	620.67	463.65	444.72	543.96	116.78	209.84	202.66	224.97	172.65	199.85	88.26	239.52	258.57	258.57	232.94	202.66	178.77	244.57	211.31	130.6	153.34	226.54	103.69	156.59	285.03	309.83	173.85	126.12	104.42	145.02	285.03	239.52	138.1	189.02	165.57	583.07	131.51	146.03	241.19	275.28	98.04	318.57	260.38	180.02	273.37	165.57	140.04	178.77	187.71	275.28	217.27	237.86	320.8	237.86	493.56	209.84	389.72	172.65	125.24	336.79	136.19	236.21	40.07	129.69
SCYL3	567.1	486.75	638.15	507.46	363.56	529.06	595.34	642.59	420.68	395.18	224.97	571.05	400.71	341.51	493.56	426.57	633.73	866.07	540.19	665.29	532.74	543.96	493.56	780.44	738.29	343.89	325.29	447.82	493.56	813.63	713.11	633.73	547.75	406.31	406.31	575.03	447.82	753.83	473.41	172.65	224.97	199.85	229.72	217.27	185.11	133.36	187.71	135.24	215.77	232.94	212.78	156.59	201.25	190.34	180.02	228.13	144.01	90.14	170.25	229.72	186.4	147.06	165.57	122.64	149.12	178.77	190.34	150.17	161.02	171.45	297.17	171.45	155.5	206.94	291.04	181.28	182.55	223.41	162.14	140.04	253.23	147.06	169.07	265.87	202.66	205.5	121.79	234.57	183.82	218.79	212.78	112.77	181.28	138.1	208.38	141.02	112.77	96.68	147.06
SDE2	660.68	612.11	497.0	379.04	351.14	551.56	543.96	583.07	379.04	267.73	215.77	497.0	532.74	271.48	543.96	500.46	470.14	656.11	356.05	595.34	376.41	356.05	351.14	438.59	514.56	351.14	348.71	583.07	551.56	483.38	518.15	1044.52	353.59	348.71	400.71	595.34	420.68	470.14	884.29	193.01	221.86	269.6	183.82	204.07	202.66	392.44	215.77	189.02	209.84	232.94	231.32	201.25	241.19	173.85	202.66	217.27	186.4	176.29	275.28	470.14	269.6	323.03	303.44	215.77	161.02	316.37	314.17	157.68	181.28	277.2	500.46	229.72	334.46	325.29	579.04	426.57	323.03	327.56	283.05	318.57	320.8	150.17	208.38	387.02	346.29	438.59	118.43	249.73	256.78	277.2	275.28	232.94	244.57	241.19	490.14	141.02	255.0	105.89	231.32
SETDB1	1651.0	1242.34	1143.1	1059.11	620.67	1059.11	1268.46	967.76	1208.34	1447.15	660.68	1359.57	1191.69	780.44	1059.11	1104.13	1806.78	1259.69	1037.29	1477.58	1001.93	1216.75	1233.75	1199.98	1268.46	884.29	1175.27	1268.46	836.53	1583.71	1225.22	1340.84	1073.91	1037.29	921.88	1191.69	825.0	1111.82	1159.07	420.68	567.1	473.41	595.34	551.56	521.76	656.11	525.39	511.0	642.59	571.05	511.0	518.15	503.95	665.29	571.05	733.19	708.18	473.41	587.13	836.53	507.46	599.49	518.15	463.65	406.31	551.56	665.29	366.09	633.73	591.22	769.69	476.71	447.82	642.59	693.58	536.45	902.89	551.56	775.05	579.04	733.19	417.77	497.0	688.78	764.36	633.73	368.65	555.41	674.59	947.83	518.15	563.18	656.11	356.05	842.36	476.71	366.09	397.93	353.59
SGPL1	1119.56	947.83	808.0	698.41	733.19	896.64	660.68	1151.06	571.05	293.07	483.38	896.64	1104.13	507.46	555.41	595.34	1277.29	902.89	336.79	660.68	660.68	728.11	872.1	974.5	1183.45	902.89	660.68	629.35	669.92	1322.37	819.3	1225.22	872.1	825.0	1059.11	1167.14	497.0	819.3	974.5	603.67	187.71	221.86	204.07	202.66	249.73	162.14	246.28	197.09	256.78	228.13	262.2	218.79	187.71	223.41	231.32	193.01	209.84	575.03	642.59	1001.93	603.67	669.92	603.67	988.12	624.99	684.02	318.57	579.04	642.59	848.22	571.05	647.07	693.58	511.0	647.07	909.17	796.86	718.08	473.41	555.41	954.43	417.77	559.28	547.75	591.22	988.12	490.14	563.18	878.17	684.02	503.95	395.18	559.28	551.56	438.59	665.29	373.81	503.95	476.71
SHQ1	246.28	536.45	441.64	409.15	406.31	518.15	339.14	447.82	358.54	144.01	314.17	417.77	289.02	361.04	454.09	486.75	376.41	366.09	403.5	339.14	376.41	476.71	429.54	289.02	432.53	463.65	373.81	332.14	279.14	409.15	454.09	547.75	381.68	500.46	400.71	366.09	698.41	432.53	323.03	126.12	154.42	189.02	220.32	172.65	177.53	111.21	195.72	187.71	133.36	172.65	153.34	182.55	191.67	137.14	189.02	189.02	144.01	211.31	153.34	260.38	116.78	166.73	95.34	281.09	133.36	161.02	122.64	109.66	150.17	170.25	205.5	147.06	212.78	159.9	249.73	129.69	209.84	162.14	117.6	142.01	214.27	81.71	108.14	182.55	305.55	157.68	73.54	236.21	149.12	205.5	130.6	231.32	146.03	119.26	149.12	148.09	94.67	87.65	111.21
SLC35A3	1008.9	518.15	878.17	490.14	620.67	947.83	454.09	995.0	669.92	358.54	629.35	490.14	242.88	332.14	836.53	1081.39	1088.92	595.34	825.0	679.29	521.76	703.28	327.56	698.41	583.07	1322.37	441.64	866.07	540.19	1233.75	954.43	1135.2	718.08	595.34	1127.35	674.59	435.55	753.83	497.0	220.32	209.84	262.2	165.57	178.77	171.45	113.56	195.72	224.97	228.13	144.01	194.36	218.79	248.0	157.68	157.68	152.28	181.28	237.86	223.41	363.56	285.03	291.04	237.86	409.15	171.45	239.52	444.72	231.32	283.05	305.55	392.44	265.87	417.77	325.29	309.83	353.59	307.69	262.2	277.2	500.46	287.01	172.65	185.11	275.28	684.02	283.05	191.67	312.0	466.88	125.24	248.0	417.77	279.14	343.89	361.04	409.15	450.94	323.03	376.41
SLX4IP	108.14	102.97	105.15	63.0	51.71	120.94	93.35	84.63	32.13	29.27	40.36	108.9	61.68	34.51	68.55	108.9	75.11	121.79	126.12	122.64	63.0	71.0	75.64	97.36	125.24	78.89	65.26	95.34	39.5	84.63	78.89	316.37	65.26	73.03	88.26	92.05	95.34	84.04	125.24	17.25	21.63	10.24	9.56	23.93	14.56	17.13	13.83	9.06	14.78	12.74	20.41	10.47	13.83	13.72	24.81	15.8	26.1	11.64	15.8	63.0	9.56	32.36	21.47	21.16	8.32	16.39	21.63	17.25	12.93	26.86	45.53	19.97	27.84	28.86	24.99	41.52	68.07	25.72	16.75	20.41	17.25	3.89	11.91	31.0	62.12	50.27	14.78	16.27	39.22	27.84	14.45	21.94	19.82	18.7	42.11	22.75	25.72	12.0	27.05
