	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.EW.A424.01A.11R.A24H.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.TMMY.0726.SM.33HBE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13N11.1126.SM.5KM41	GTEX.1117F.2426.SM.5EGGH
SEC24A	497.0	129.69	70.01	249.73	206.94	329.84	518.15	105.89	473.41	189.02	151.22	206.94	124.37	279.14	115.16	211.31	307.69	351.14	138.1	255.0	447.82	400.71	125.24	389.72	148.09	199.85	244.57	423.61	114.36	204.07	299.25	450.94	400.71	218.79	248.0	206.94	96.01	169.07	145.02	265.87	137.14	351.14	260.38	40.64	269.6	186.4	361.04	117.6	343.89	185.11	255.0	96.68	497.0	239.52	420.68	281.09	265.87	58.71	171.45	202.66	309.83	323.03	480.04	129.69	379.04	208.38	529.06	447.82	267.73	281.09	237.86	110.43	334.46	267.73	325.29	217.27	470.14	371.22	500.46	142.01	165.57	332.14	181.28	351.14	138.1	603.67	121.79	172.65	132.44	183.82	353.59	368.65	88.26	78.34	74.58	52.82	127.0	182.55	172.65	152.28	108.9
SEC24B	563.18	260.38	187.71	318.57	371.22	476.71	567.1	293.07	480.04	406.31	220.32	205.5	312.0	429.54	285.03	371.22	612.11	518.15	432.53	547.75	514.56	397.93	253.23	312.0	161.02	334.46	389.72	995.0	224.97	275.28	426.57	414.87	406.31	312.0	543.96	381.68	226.54	444.72	218.79	540.19	187.71	463.65	371.22	131.51	583.07	273.37	718.08	285.03	651.58	353.59	480.04	242.88	988.12	669.92	728.11	698.41	555.41	305.55	612.11	490.14	733.19	713.11	764.36	325.29	860.08	688.78	587.13	620.67	830.75	532.74	713.11	366.09	1088.92	500.46	974.5	529.06	624.99	688.78	629.35	423.61	555.41	514.56	575.03	1081.39	299.25	941.27	361.04	595.34	289.02	432.53	743.43	698.41	153.34	88.26	165.57	119.26	119.26	114.36	198.47	275.28	334.46
SHPRH	163.28	48.52	14.67	131.51	57.49	114.36	81.14	44.57	96.01	69.03	47.17	84.63	69.03	133.36	89.51	68.55	100.13	83.45	77.79	106.63	171.45	115.97	46.84	128.79	14.03	69.03	96.01	237.86	18.84	109.66	81.71	123.5	94.67	34.75	148.09	103.69	50.98	90.77	47.17	127.89	25.72	97.36	58.71	14.89	100.83	58.71	232.94	42.41	211.31	79.45	172.65	31.45	429.54	148.09	209.84	264.03	212.78	40.64	181.28	138.1	301.33	275.28	215.77	73.03	305.55	212.78	301.33	329.84	329.84	101.54	312.0	84.63	309.83	173.85	248.0	84.63	281.09	156.59	106.63	156.59	242.88	66.65	241.19	198.47	49.21	129.69	87.65	232.94	80.01	103.69	253.23	226.54	16.39	5.15	20.41	7.0	9.7	8.71	5.23	39.5	43.94
SLC30A6	412.0	176.29	91.41	327.56	341.51	320.8	373.81	194.36	403.5	260.38	193.01	137.14	172.65	303.44	198.47	253.23	435.55	269.6	180.02	265.87	363.56	271.48	180.02	403.5	285.03	229.72	224.97	575.03	164.42	186.4	267.73	318.57	316.37	220.32	353.59	316.37	264.03	241.19	182.55	318.57	212.78	305.55	260.38	89.51	429.54	209.84	384.34	190.34	435.55	229.72	299.25	152.28	493.56	325.29	476.71	358.54	281.09	201.25	318.57	314.17	307.69	309.83	463.65	214.27	507.46	339.14	366.09	356.05	291.04	293.07	253.23	208.38	791.35	384.34	190.34	441.64	480.04	414.87	279.14	255.0	283.05	312.0	373.81	500.46	153.34	587.13	132.44	255.0	217.27	234.57	454.09	379.04	122.64	108.14	125.24	131.51	75.11	98.04	84.63	165.57	208.38
SMAD4	2240.11	514.56	187.71	915.51	825.0	764.36	909.17	400.71	995.0	293.07	412.0	406.31	723.08	420.68	629.35	693.58	1477.58	769.69	679.29	1044.52	1407.55	624.99	429.54	780.44	500.46	612.11	587.13	1159.07	483.38	559.28	669.92	1081.39	559.28	802.41	1572.76	532.74	633.73	1081.39	500.46	1119.56	400.71	1250.98	684.02	237.86	1242.34	381.68	2119.22	525.39	1844.76	915.51	1369.04	547.75	2664.15	1605.83	1832.01	1963.57	1781.89	748.61	1697.45	1313.23	2148.82	1781.89	2075.59	660.68	1832.01	1806.78	2271.4	1427.22	1143.1	1135.2	1909.85	1127.35	2367.9	1896.65	1066.48	607.87	2133.97	2609.3	2119.22	825.0	1331.57	1151.06	1216.75	2209.26	669.92	2319.15	591.22	1617.0	902.89	1088.92	1037.29	2104.58	353.59	115.97	309.83	236.21	150.17	246.28	236.21	629.35	802.41
SMAD5	921.88	260.38	124.37	490.14	320.8	336.79	571.05	260.38	607.87	194.36	285.03	329.84	231.32	361.04	269.6	412.0	480.04	400.71	329.84	473.41	723.08	343.89	224.97	612.11	187.71	341.51	435.55	872.1	133.36	209.84	368.65	409.15	420.68	251.48	583.07	251.48	123.5	336.79	239.52	571.05	215.77	351.14	295.11	145.02	547.75	271.48	718.08	260.38	775.05	339.14	521.76	190.34	915.51	616.37	785.88	825.0	514.56	232.94	769.69	525.39	571.05	733.19	718.08	316.37	860.08	947.83	738.29	684.02	660.68	514.56	423.61	303.44	2209.26	660.68	748.61	473.41	854.13	780.44	753.83	514.56	665.29	329.84	698.41	1015.93	198.47	669.92	228.13	500.46	226.54	483.38	1313.23	872.1	118.43	57.49	138.1	124.37	128.79	163.28	84.63	339.14	587.13
SMARCA5	764.36	543.96	642.59	607.87	521.76	638.15	660.68	500.46	825.0	575.03	808.0	441.64	387.02	656.11	571.05	629.35	941.27	612.11	934.76	457.25	738.29	559.28	201.25	555.41	291.04	500.46	616.37	1191.69	429.54	457.25	693.58	583.07	525.39	476.71	738.29	665.29	607.87	647.07	679.29	769.69	409.15	633.73	470.14	215.77	684.02	612.11	785.88	551.56	808.0	791.35	656.11	336.79	967.76	583.07	769.69	764.36	684.02	417.77	612.11	738.29	753.83	866.07	1030.12	607.87	981.29	836.53	780.44	854.13	713.11	457.25	848.22	454.09	1127.35	813.63	571.05	651.58	669.92	995.0	738.29	563.18	860.08	343.89	848.22	802.41	339.14	1001.93	514.56	684.02	473.41	500.46	684.02	934.76	226.54	46.84	169.07	95.34	152.28	177.53	50.63	500.46	571.05
SNX18	438.59	161.02	96.01	285.03	283.05	223.41	249.73	150.17	197.09	104.42	130.6	156.59	149.12	236.21	162.14	295.11	279.14	320.8	162.14	228.13	629.35	291.04	109.66	249.73	221.86	234.57	228.13	314.17	79.45	146.03	209.84	269.6	224.97	295.11	454.09	420.68	178.77	231.32	241.19	277.2	234.57	412.0	218.79	94.01	173.85	146.03	373.81	277.2	607.87	309.83	532.74	275.28	1135.2	384.34	500.46	463.65	543.96	181.28	346.29	381.68	500.46	435.55	543.96	211.31	660.68	351.14	426.57	438.59	426.57	543.96	246.28	285.03	1037.29	351.14	647.07	353.59	312.0	460.44	579.04	314.17	209.84	190.34	406.31	547.75	267.73	457.25	242.88	473.41	295.11	426.57	414.87	493.56	146.03	102.25	151.22	167.9	99.43	131.51	119.26	269.6	974.5
STAG2	1757.34	483.38	395.18	981.29	603.67	638.15	1023.0	412.0	748.61	366.09	368.65	473.41	503.95	915.51	547.75	775.05	1304.15	616.37	753.83	915.51	1561.89	665.29	438.59	961.07	490.14	547.75	819.3	1467.37	323.03	490.14	591.22	825.0	808.0	414.87	1008.9	651.58	518.15	836.53	483.38	1088.92	536.45	854.13	551.56	236.21	947.83	647.07	1397.83	473.41	1605.83	796.86	1088.92	376.41	1883.54	1322.37	1191.69	1819.35	1322.37	579.04	1331.57	1127.35	1594.73	1417.35	1487.87	718.08	1561.89	1583.71	1540.37	1572.76	1259.69	1059.11	1242.34	785.88	1794.29	1066.48	1397.83	1096.5	1781.89	1457.23	1159.07	902.89	1015.93	638.15	1407.55	1819.35	612.11	2018.8	532.74	1183.45	860.08	896.64	1233.75	1923.14	175.07	61.68	283.05	149.12	187.71	143.01	94.67	432.53	665.29
STRN	392.44	129.69	70.01	226.54	162.14	312.0	420.68	126.12	221.86	269.6	107.38	146.03	158.79	249.73	155.5	165.57	320.8	234.57	164.42	249.73	320.8	202.66	136.19	305.55	253.23	193.01	244.57	575.03	119.26	171.45	190.34	237.86	226.54	144.01	221.86	287.01	232.94	158.79	127.89	269.6	138.1	269.6	215.77	64.8	299.25	114.36	358.54	129.69	450.94	181.28	258.57	102.25	470.14	283.05	361.04	429.54	309.83	105.15	269.6	237.86	435.55	346.29	423.61	151.22	429.54	454.09	336.79	346.29	463.65	346.29	332.14	126.12	591.22	285.03	583.07	229.72	387.02	339.14	287.01	221.86	228.13	199.85	339.14	414.87	98.04	583.07	113.56	368.65	153.34	265.87	327.56	493.56	77.79	42.11	100.83	52.82	42.41	33.54	29.06	98.04	116.78
SUZ12	406.31	256.78	144.01	432.53	543.96	371.22	587.13	277.2	497.0	403.5	366.09	403.5	253.23	595.34	287.01	429.54	543.96	341.51	264.03	483.38	507.46	229.72	126.12	258.57	124.37	336.79	358.54	543.96	190.34	341.51	403.5	514.56	373.81	361.04	426.57	392.44	267.73	295.11	231.32	429.54	314.17	303.44	460.44	98.73	353.59	348.71	466.88	185.11	543.96	251.48	400.71	173.85	684.02	339.14	470.14	470.14	389.72	159.9	320.8	368.65	547.75	409.15	555.41	262.2	629.35	624.99	447.82	579.04	532.74	441.64	309.83	269.6	909.17	368.65	476.71	698.41	728.11	341.51	423.61	303.44	329.84	309.83	466.88	748.61	265.87	836.53	161.02	336.79	397.93	295.11	620.67	575.03	146.03	35.0	139.07	84.63	127.0	128.79	54.72	170.25	264.03
SYNCRIP	2178.83	743.43	447.82	1111.82	1233.75	1487.87	1467.37	981.29	3190.46	1721.16	1519.15	1119.56	909.17	2148.82	961.07	1594.73	1572.76	1519.15	1151.06	1199.98	1977.24	1508.65	1143.1	1322.37	1909.85	1378.57	1605.83	2739.08	995.0	1233.75	2384.37	1806.78	1662.49	1529.73	1594.73	1216.75	1191.69	1233.75	1143.1	1745.2	1295.13	1757.34	1225.22	466.88	2148.82	1457.23	2047.0	1191.69	2367.9	1447.15	1685.71	802.41	2627.46	1721.16	1991.0	1991.0	1857.6	860.08	1583.71	1605.83	1870.53	2271.4	2367.9	1208.34	1832.01	1259.69	2090.03	2255.7	1268.46	1745.2	1081.39	1044.52	3564.78	1477.58	2796.65	1832.01	3018.3	1963.57	1674.06	1081.39	1081.39	1769.57	1498.22	2400.97	656.11	2537.92	830.75	1268.46	1119.56	1498.22	1963.57	1709.26	842.36	595.34	713.11	638.15	289.02	525.39	438.59	1037.29	878.17
TAOK1	543.96	151.22	73.54	353.59	351.14	343.89	447.82	149.12	343.89	275.28	178.77	279.14	145.02	432.53	172.65	226.54	397.93	353.59	301.33	320.8	470.14	223.41	115.97	262.2	123.5	180.02	303.44	591.22	88.88	155.5	607.87	450.94	318.57	236.21	314.17	291.04	148.09	256.78	133.36	368.65	180.02	323.03	277.2	76.17	373.81	190.34	575.03	688.78	1183.45	223.41	363.56	155.5	551.56	447.82	651.58	511.0	376.41	152.28	358.54	299.25	435.55	457.25	511.0	193.01	420.68	521.76	480.04	387.02	529.06	420.68	518.15	158.79	1104.13	361.04	234.57	197.09	624.99	363.56	483.38	277.2	307.69	432.53	429.54	629.35	47.17	624.99	143.01	316.37	125.24	346.29	599.49	587.13	120.1	38.12	117.6	98.73	59.55	84.63	28.65	183.82	195.72
TMTC3	361.04	119.26	70.51	110.43	169.07	169.07	258.57	97.36	133.36	162.14	130.6	190.34	72.01	176.29	103.69	183.82	202.66	193.01	116.78	151.22	376.41	181.28	96.01	232.94	77.79	112.77	169.07	329.84	59.13	80.57	120.94	234.57	136.19	98.73	171.45	152.28	74.06	151.22	94.01	194.36	93.35	180.02	126.12	55.49	212.78	77.25	305.55	92.7	332.14	121.79	198.47	68.07	341.51	202.66	348.71	262.2	212.78	86.43	146.03	176.29	195.72	217.27	295.11	112.77	256.78	438.59	246.28	309.83	248.0	260.38	244.57	102.97	353.59	159.9	120.1	392.44	373.81	182.55	159.9	170.25	138.1	190.34	329.84	267.73	104.42	299.25	88.26	115.97	151.22	147.06	281.09	387.02	48.87	22.26	45.21	52.08	39.22	27.84	21.47	130.6	84.63
TNPO1	1745.2	299.25	255.0	775.05	323.03	698.41	974.5	316.37	1023.0	473.41	281.09	368.65	366.09	791.35	363.56	603.67	743.43	738.29	669.92	902.89	1066.48	540.19	429.54	836.53	358.54	384.34	638.15	1498.22	356.05	438.59	780.44	808.0	830.75	406.31	543.96	536.45	217.27	525.39	348.71	802.41	314.17	947.83	450.94	106.63	1073.91	503.95	1167.14	376.41	1277.29	414.87	775.05	224.97	1322.37	902.89	1199.98	1037.29	679.29	277.2	591.22	684.02	1023.0	909.17	1073.91	435.55	941.27	1268.46	1498.22	1199.98	961.07	775.05	995.0	297.17	1268.46	928.3	493.56	429.54	1572.76	802.41	518.15	764.36	728.11	669.92	866.07	1023.0	176.29	1088.92	237.86	738.29	287.01	620.67	981.29	1844.76	181.28	193.01	221.86	158.79	181.28	127.0	116.78	447.82	389.72
TOPORS	457.25	178.77	77.79	299.25	295.11	191.67	265.87	165.57	217.27	205.5	139.07	171.45	159.9	332.14	253.23	301.33	373.81	277.2	187.71	267.73	323.03	223.41	171.45	226.54	198.47	246.28	334.46	320.8	173.85	199.85	202.66	269.6	341.51	211.31	395.18	176.29	214.27	273.37	220.32	406.31	231.32	231.32	218.79	86.43	251.48	180.02	420.68	215.77	483.38	283.05	379.04	162.14	536.45	329.84	420.68	470.14	406.31	214.27	409.15	329.84	463.65	414.87	447.82	267.73	591.22	332.14	536.45	518.15	320.8	366.09	384.34	264.03	698.41	283.05	373.81	403.5	532.74	435.55	392.44	221.86	180.02	154.42	420.68	660.68	214.27	341.51	229.72	341.51	320.8	269.6	420.68	423.61	58.3	23.93	45.21	32.82	57.89	85.82	34.02	217.27	283.05
TROVE2	638.15	193.01	108.14	466.88	249.73	543.96	426.57	181.28	563.18	312.0	142.01	358.54	244.57	435.55	166.73	366.09	420.68	432.53	287.01	265.87	595.34	218.79	299.25	400.71	176.29	248.0	414.87	665.29	154.42	303.44	348.71	441.64	642.59	206.94	283.05	403.5	182.55	264.03	183.82	336.79	363.56	271.48	547.75	56.28	490.14	161.02	514.56	147.06	555.41	198.47	400.71	170.25	607.87	395.18	575.03	483.38	397.93	84.63	281.09	323.03	426.57	381.68	595.34	197.09	587.13	595.34	361.04	429.54	379.04	406.31	503.95	166.73	813.63	234.57	229.72	343.89	444.72	447.82	603.67	161.02	307.69	429.54	334.46	540.19	87.03	587.13	195.72	878.17	151.22	265.87	441.64	559.28	84.04	29.7	64.8	39.79	84.04	108.9	44.25	145.02	264.03
UBR3	536.45	248.0	194.36	320.8	406.31	379.04	473.41	237.86	423.61	438.59	283.05	395.18	244.57	281.09	318.57	412.0	454.09	323.03	295.11	620.67	571.05	334.46	133.36	373.81	226.54	289.02	346.29	454.09	190.34	291.04	285.03	351.14	351.14	218.79	466.88	389.72	134.3	358.54	309.83	518.15	199.85	376.41	279.14	107.38	518.15	387.02	633.73	215.77	551.56	327.56	463.65	253.23	825.0	460.44	769.69	532.74	417.77	287.01	486.75	444.72	629.35	579.04	713.11	299.25	769.69	813.63	480.04	529.06	934.76	579.04	599.49	275.28	1059.11	555.41	723.08	540.19	775.05	540.19	703.28	351.14	466.88	571.05	669.92	713.11	199.85	567.1	223.41	371.22	346.29	358.54	723.08	743.43	146.03	85.82	133.36	115.16	189.02	142.01	175.07	312.0	267.73
UBXN4	2209.26	1369.04	289.02	1605.83	1832.01	1923.14	1819.35	1378.57	1605.83	1030.12	1427.22	1697.45	909.17	1159.07	1135.2	1721.16	2133.97	1709.26	1111.82	2303.12	1883.54	1594.73	1066.48	2555.58	713.11	1242.34	1572.76	1322.37	599.49	1561.89	1617.0	1561.89	1819.35	1037.29	1819.35	1781.89	723.08	1477.58	1051.79	1963.57	1059.11	1628.26	1651.0	460.44	2032.85	1639.59	2047.0	928.3	2351.53	1151.06	1617.0	769.69	2485.67	1781.89	1950.0	1963.57	1628.26	753.83	1477.58	1674.06	1991.0	2004.85	2573.36	1277.29	2032.85	1662.49	1651.0	1857.6	1923.14	1457.23	1594.73	974.5	3018.3	1519.15	2777.33	1963.57	2875.3	1733.13	1950.0	1233.75	1175.27	1806.78	1709.26	2739.08	909.17	2796.65	708.18	1417.35	1427.22	1096.5	2133.97	1733.13	511.0	180.02	563.18	277.2	559.28	703.28	334.46	1015.93	1417.35
UHRF1BP1L	540.19	232.94	108.9	363.56	226.54	323.03	318.57	182.55	287.01	366.09	105.89	224.97	130.6	223.41	158.79	246.28	497.0	295.11	212.78	256.78	454.09	260.38	189.02	346.29	82.87	253.23	327.56	514.56	234.57	285.03	267.73	470.14	277.2	287.01	223.41	162.14	94.01	218.79	112.77	258.57	126.12	366.09	260.38	82.29	371.22	303.44	309.83	126.12	392.44	177.53	264.03	146.03	438.59	323.03	414.87	353.59	277.2	127.89	258.57	220.32	329.84	291.04	438.59	177.53	293.07	518.15	283.05	327.56	444.72	325.29	189.02	137.14	947.83	314.17	447.82	202.66	299.25	297.17	343.89	241.19	318.57	466.88	309.83	447.82	78.34	503.95	228.13	264.03	229.72	195.72	287.01	309.83	62.12	36.79	67.59	46.84	173.85	122.64	83.45	157.68	125.24
USP13	214.27	30.34	54.72	307.69	75.64	128.79	161.02	53.57	414.87	163.28	49.56	92.05	51.71	169.07	57.89	68.55	195.72	63.0	262.2	147.06	264.03	73.54	51.35	264.03	100.83	115.97	109.66	195.72	29.48	108.14	88.88	176.29	136.19	82.29	117.6	299.25	175.07	82.29	44.25	107.38	100.13	85.22	144.01	30.34	156.59	149.12	152.28	88.26	264.03	119.26	178.77	76.71	332.14	167.9	170.25	234.57	171.45	89.51	125.24	154.42	232.94	161.02	164.42	80.57	171.45	100.83	109.66	125.24	141.02	186.4	105.15	111.21	236.21	121.79	145.02	82.87	186.4	134.3	107.38	140.04	94.67	214.27	173.85	177.53	37.32	215.77	104.42	77.79	62.56	178.77	195.72	389.72	25.91	17.13	37.32	24.81	31.67	35.76	22.26	91.41	59.97
USP38	314.17	119.26	121.79	353.59	241.19	312.0	356.05	139.07	271.48	312.0	217.27	185.11	151.22	323.03	140.04	206.94	417.77	285.03	234.57	221.86	301.33	189.02	87.65	218.79	107.38	183.82	229.72	417.77	94.67	167.9	271.48	248.0	246.28	205.5	256.78	189.02	156.59	217.27	117.6	264.03	127.89	301.33	217.27	59.97	341.51	102.25	273.37	125.24	297.17	215.77	255.0	92.05	371.22	206.94	316.37	297.17	258.57	115.16	218.79	220.32	271.48	275.28	356.05	142.01	265.87	289.02	332.14	279.14	289.02	281.09	283.05	175.07	551.56	191.67	353.59	234.57	466.88	314.17	251.48	139.07	137.14	214.27	249.73	329.84	138.1	363.56	84.04	164.42	145.02	208.38	373.81	429.54	100.83	66.18	70.01	77.79	99.43	62.56	105.15	166.73	103.69
USP9X	1073.91	307.69	356.05	759.08	497.0	603.67	679.29	232.94	947.83	438.59	417.77	376.41	251.48	713.11	346.29	381.68	780.44	775.05	521.76	698.41	684.02	507.46	511.0	825.0	532.74	358.54	718.08	1015.93	248.0	318.57	759.08	647.07	674.59	532.74	551.56	571.05	358.54	551.56	400.71	713.11	813.63	830.75	480.04	220.32	780.44	314.17	890.44	457.25	896.64	536.45	547.75	346.29	902.89	791.35	1081.39	802.41	688.78	438.59	656.11	583.07	703.28	759.08	842.36	529.06	878.17	947.83	872.1	764.36	660.68	435.55	890.44	353.59	988.12	555.41	603.67	651.58	825.0	708.18	1104.13	497.0	551.56	559.28	974.5	848.22	187.71	878.17	327.56	866.07	241.19	808.0	902.89	769.69	251.48	217.27	305.55	241.19	387.02	283.05	251.48	400.71	426.57
VEZT	1467.37	674.59	334.46	1127.35	599.49	1277.29	981.29	575.03	967.76	902.89	928.3	1023.0	743.43	1286.18	612.11	890.44	1119.56	934.76	660.68	785.88	1127.35	825.0	813.63	1709.26	329.84	819.3	995.0	2090.03	579.04	651.58	1225.22	1259.69	1059.11	796.86	941.27	500.46	417.77	819.3	536.45	813.63	525.39	490.14	1295.13	303.44	1519.15	476.71	902.89	759.08	1359.57	780.44	915.51	525.39	1529.73	974.5	1143.1	1111.82	995.0	583.07	1008.9	854.13	1295.13	1015.93	1397.83	703.28	1175.27	1529.73	1059.11	1832.01	1250.98	967.76	1008.9	825.0	1832.01	708.18	764.36	718.08	1331.57	1001.93	1088.92	733.19	808.0	967.76	1096.5	890.44	490.14	1407.55	435.55	1540.37	567.1	743.43	1733.13	1639.59	273.37	140.04	316.37	190.34	251.48	283.05	166.73	791.35	674.59
WDR44	289.02	115.16	78.89	157.68	146.03	146.03	220.32	87.03	155.5	255.0	117.6	175.07	94.01	206.94	116.78	157.68	265.87	181.28	169.07	135.24	234.57	220.32	77.25	248.0	77.79	141.02	140.04	220.32	83.45	145.02	117.6	199.85	120.1	143.01	251.48	197.09	120.94	167.9	108.14	232.94	87.65	185.11	190.34	67.12	226.54	59.13	285.03	108.14	289.02	183.82	231.32	112.77	293.07	232.94	297.17	255.0	244.57	155.5	226.54	220.32	237.86	283.05	320.8	165.57	260.38	301.33	361.04	363.56	226.54	241.19	283.05	133.36	647.07	236.21	180.02	142.01	215.77	258.57	334.46	187.71	162.14	157.68	237.86	341.51	97.36	392.44	149.12	145.02	127.89	202.66	384.34	277.2	97.36	52.08	70.01	62.56	49.91	53.95	82.87	283.05	98.73
WDR7	221.86	55.49	45.21	153.34	115.16	178.77	152.28	75.64	131.51	92.7	74.58	94.67	123.5	66.18	90.14	88.88	224.97	105.15	147.06	132.44	204.07	120.1	63.45	113.56	70.01	87.03	82.87	166.73	57.49	108.9	122.64	231.32	68.07	150.17	156.59	68.55	75.11	98.73	60.82	163.28	70.51	156.59	125.24	53.19	194.36	61.25	199.85	76.17	195.72	138.1	150.17	72.52	221.86	169.07	264.03	185.11	156.59	73.54	161.02	165.57	190.34	195.72	204.07	104.42	182.55	167.9	197.09	162.14	167.9	223.41	229.72	62.12	441.64	161.02	134.3	120.1	145.02	163.28	234.57	114.36	293.07	177.53	244.57	221.86	56.28	277.2	85.22	341.51	62.56	145.02	241.19	253.23	59.97	66.18	79.45	64.34	44.89	31.45	67.12	104.42	63.45
XRN1	441.64	102.97	35.0	249.73	102.97	193.01	241.19	78.34	476.71	181.28	85.22	163.28	107.38	166.73	118.43	111.99	201.25	195.72	83.45	171.45	341.51	191.67	108.9	186.4	108.14	139.07	120.1	224.97	40.36	93.35	146.03	334.46	183.82	119.26	175.07	147.06	121.79	178.77	108.9	242.88	115.97	221.86	162.14	37.59	148.09	64.34	429.54	66.65	371.22	101.54	224.97	70.51	486.75	281.09	373.81	397.93	293.07	67.59	246.28	195.72	409.15	316.37	384.34	104.42	361.04	470.14	293.07	348.71	521.76	183.82	314.17	150.17	426.57	320.8	258.57	157.68	624.99	309.83	285.03	197.09	246.28	211.31	285.03	420.68	53.19	563.18	105.89	314.17	98.04	236.21	287.01	417.77	57.49	16.88	48.18	33.06	63.89	56.28	43.02	95.34	143.01
