	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.BJ.A291.01A.11R.A16R.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.BJ.A0ZF.01A.11R.A10U.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.KS.A41J.11A.12R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.ZZPU.1326.SM.5GZWS	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.1128S.0126.SM.5H12S	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7
HECTD2	27.05	15.91	26.86	10.0	24.46	20.56	61.25	75.64	60.82	59.13	86.43	88.88	59.55	76.17	69.03	77.25	58.3	68.55	73.03	44.89	163.28	155.5	76.71	231.32	78.89	120.1	113.56	105.15	176.29	121.79	105.89	119.26	139.07	140.04	144.01	120.1	96.68	191.67	124.37	159.9	157.68	146.03	128.79	152.28	118.43	95.34	121.79	131.51	150.17	175.07	118.43	112.77	135.24	177.53	115.16	125.24	82.87	75.11	148.09	175.07	205.5	102.25	187.71	153.34	249.73	107.38	126.12	109.66	185.11	67.59	178.77	109.66	171.45	120.94	177.53	123.5	201.25	134.3	88.88	146.03	130.6	140.04	85.82	116.78	81.14	185.11	138.1	134.3	182.55	154.42	100.83	96.01	110.43	126.12	118.43
IFT81	87.65	31.22	52.82	9.34	116.78	44.25	221.86	229.72	232.94	177.53	191.67	265.87	176.29	211.31	149.12	318.57	248.0	149.12	255.0	194.36	441.64	454.09	244.57	457.25	316.37	318.57	361.04	316.37	406.31	373.81	297.17	329.84	423.61	400.71	316.37	409.15	301.33	638.15	283.05	511.0	343.89	327.56	384.34	339.14	366.09	277.2	320.8	325.29	403.5	466.88	343.89	271.48	351.14	480.04	332.14	293.07	237.86	255.0	301.33	417.77	470.14	299.25	397.93	389.72	575.03	248.0	248.0	366.09	395.18	209.84	420.68	314.17	363.56	299.25	500.46	387.02	529.06	379.04	293.07	303.44	271.48	379.04	285.03	389.72	258.57	412.0	373.81	287.01	379.04	381.68	325.29	262.2	403.5	384.34	314.17
INO80D	28.24	21.78	25.91	14.14	31.22	16.15	42.41	47.17	53.95	63.45	59.13	62.56	70.01	69.52	53.57	74.58	67.59	61.25	68.07	31.0	137.14	123.5	67.59	155.5	67.12	92.05	94.01	92.05	132.44	108.9	98.04	87.65	108.9	103.69	110.43	68.55	126.12	154.42	104.42	138.1	90.14	105.89	98.04	92.05	77.25	67.59	83.45	86.43	100.13	139.07	98.04	77.79	118.43	155.5	97.36	83.45	80.01	99.43	74.06	110.43	182.55	75.64	116.78	128.79	148.09	76.71	73.03	95.34	114.36	63.45	115.16	87.03	111.21	70.01	150.17	94.67	136.19	96.01	70.01	100.13	105.15	100.13	80.01	105.15	48.52	112.77	95.34	99.43	98.73	115.16	69.03	88.88	105.15	80.01	84.63
INPP5B	101.54	111.21	106.63	99.43	47.17	95.34	181.28	206.94	155.5	251.48	173.85	275.28	299.25	201.25	140.04	241.19	163.28	167.9	212.78	96.68	297.17	307.69	244.57	343.89	155.5	208.38	237.86	303.44	279.14	293.07	197.09	221.86	309.83	249.73	283.05	186.4	195.72	348.71	281.09	281.09	197.09	289.02	529.06	226.54	264.03	236.21	194.36	209.84	305.55	305.55	289.02	204.07	336.79	438.59	220.32	249.73	279.14	186.4	204.07	299.25	303.44	204.07	395.18	283.05	289.02	181.28	190.34	325.29	223.41	197.09	312.0	239.52	341.51	186.4	312.0	373.81	376.41	260.38	180.02	293.07	229.72	211.31	185.11	279.14	209.84	403.5	389.72	217.27	221.86	307.69	186.4	255.0	221.86	195.72	185.11
IRS4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	3.08	5.02	0.23	1.73	0.0	0.0	6.67	17.51	0.23	5.06	4.1	1.3	57.49	38.4	43.02	103.69	13.52	37.85	25.72	25.35	43.32	43.63	21.94	29.91	80.01	92.05	0.0	33.78	74.06	26.47	18.56	65.72	17.9	16.39	43.02	12.64	65.72	21.47	25.91	24.99	31.67	70.01	49.56	18.16	43.63	62.56	19.82	17.38	45.53	10.0	12.18	21.16	26.1	78.89	89.51	17.9	35.0	12.18	11.82	51.71	12.83	15.8	43.94	3.76	43.94	25.54	33.54	48.18	55.49	63.0	27.25	32.82	13.32	75.11	7.57	33.78	6.41	40.93	84.04	70.01	44.25	14.78	1.62	6.26	40.36	21.78	43.32
KANSL1L	226.54	131.51	114.36	33.06	183.82	62.56	182.55	201.25	118.43	140.04	232.94	211.31	181.28	244.57	154.42	264.03	197.09	242.88	242.88	118.43	521.76	426.57	299.25	532.74	246.28	343.89	379.04	332.14	463.65	406.31	256.78	406.31	395.18	480.04	435.55	312.0	361.04	775.05	289.02	521.76	341.51	406.31	438.59	381.68	379.04	249.73	285.03	366.09	400.71	417.77	341.51	275.28	392.44	457.25	316.37	318.57	318.57	239.52	343.89	607.87	497.0	277.2	423.61	384.34	518.15	253.23	289.02	384.34	358.54	264.03	470.14	318.57	480.04	307.69	454.09	343.89	525.39	400.71	285.03	423.61	346.29	417.77	269.6	397.93	249.73	748.61	438.59	279.14	438.59	441.64	279.14	285.03	303.44	363.56	363.56
KDM3A	279.14	139.07	177.53	115.97	208.38	163.28	295.11	361.04	242.88	285.03	353.59	348.71	441.64	432.53	316.37	450.94	466.88	384.34	371.22	389.72	733.19	748.61	412.0	902.89	579.04	616.37	660.68	518.15	854.13	703.28	490.14	551.56	808.0	718.08	656.11	713.11	890.44	848.22	693.58	909.17	660.68	674.59	629.35	599.49	713.11	583.07	624.99	507.46	660.68	791.35	660.68	620.67	612.11	703.28	802.41	603.67	483.38	511.0	595.34	909.17	860.08	463.65	1015.93	583.07	708.18	490.14	624.99	698.41	693.58	366.09	733.19	381.68	808.0	403.5	723.08	567.1	884.29	651.58	470.14	1225.22	514.56	660.68	444.72	660.68	397.93	967.76	775.05	555.41	808.0	642.59	591.22	612.11	591.22	521.76	551.56
KHNYN	249.73	169.07	202.66	260.38	229.72	232.94	397.93	301.33	361.04	287.01	262.2	406.31	476.71	307.69	371.22	454.09	323.03	314.17	312.0	241.19	633.73	629.35	423.61	836.53	329.84	403.5	511.0	620.67	599.49	679.29	587.13	371.22	620.67	603.67	540.19	316.37	665.29	819.3	703.28	785.88	395.18	656.11	660.68	417.77	693.58	536.45	366.09	532.74	571.05	723.08	525.39	438.59	665.29	1037.29	397.93	486.75	518.15	493.56	358.54	679.29	698.41	536.45	759.08	457.25	536.45	400.71	379.04	591.22	438.59	490.14	612.11	323.03	642.59	500.46	733.19	698.41	769.69	656.11	371.22	698.41	638.15	559.28	343.89	497.0	420.68	665.29	547.75	476.71	669.92	571.05	417.77	563.18	486.75	325.29	476.71
KIAA0753	100.13	52.82	85.82	40.93	92.05	17.0	85.82	185.11	98.73	106.63	151.22	151.22	195.72	177.53	97.36	190.34	118.43	138.1	119.26	109.66	381.68	293.07	212.78	432.53	283.05	248.0	271.48	218.79	277.2	202.66	178.77	309.83	320.8	297.17	231.32	346.29	336.79	417.77	220.32	283.05	387.02	201.25	287.01	211.31	231.32	169.07	314.17	215.77	183.82	323.03	242.88	406.31	289.02	368.65	373.81	325.29	190.34	189.02	297.17	299.25	309.83	229.72	303.44	303.44	460.44	116.78	323.03	211.31	332.14	161.02	269.6	149.12	307.69	237.86	363.56	285.03	299.25	226.54	166.73	348.71	181.28	265.87	140.04	226.54	152.28	420.68	248.0	256.78	224.97	265.87	241.19	281.09	332.14	325.29	193.01
KIAA1328	48.87	47.5	30.34	16.27	41.52	28.24	62.12	62.12	40.36	44.57	62.56	71.0	70.51	55.49	55.1	68.07	48.87	69.52	46.5	37.05	155.5	138.1	85.82	202.66	122.64	141.02	133.36	90.14	170.25	92.05	94.01	134.3	194.36	159.9	80.57	120.94	112.77	253.23	103.69	226.54	147.06	90.14	104.42	109.66	101.54	85.22	111.99	102.25	126.12	157.68	118.43	111.21	127.89	129.69	121.79	139.07	104.42	84.63	150.17	143.01	146.03	103.69	187.71	121.79	152.28	94.67	122.64	134.3	129.69	75.64	108.14	94.01	155.5	82.29	194.36	134.3	214.27	152.28	100.13	151.22	96.01	167.9	119.26	100.13	77.25	228.13	158.79	116.78	181.28	120.1	111.99	73.03	115.97	143.01	115.97
KIAA1456	42.41	31.22	36.53	10.88	43.32	16.88	264.03	713.11	316.37	221.86	318.57	314.17	161.02	248.0	283.05	395.18	397.93	743.43	384.34	480.04	2255.7	1605.83	708.18	1832.01	480.04	748.61	1685.71	780.44	1909.85	1313.23	713.11	733.19	1991.0	2240.11	947.83	854.13	2255.7	3280.18	785.88	2701.35	921.88	1709.26	2209.26	775.05	1044.52	813.63	698.41	1304.15	974.5	1857.6	1199.98	738.29	1096.5	2400.97	1233.75	723.08	473.41	567.1	890.44	2555.58	1909.85	703.28	2502.97	1628.26	2178.83	693.58	616.37	1806.78	915.51	379.04	2163.77	967.76	1487.87	679.29	2178.83	1359.57	2104.58	1447.15	532.74	1407.55	896.64	1096.5	551.56	1331.57	320.8	2701.35	3395.89	1143.1	1662.49	1605.83	819.3	463.65	1030.12	748.61	759.08
KIAA1468	149.12	145.02	143.01	72.52	84.04	66.18	99.43	190.34	194.36	127.89	209.84	165.57	164.42	167.9	180.02	246.28	172.65	214.27	197.09	113.56	387.02	371.22	283.05	612.11	262.2	241.19	283.05	379.04	373.81	339.14	249.73	332.14	334.46	473.41	373.81	223.41	287.01	507.46	373.81	376.41	358.54	356.05	384.34	325.29	371.22	318.57	277.2	281.09	341.51	381.68	373.81	260.38	423.61	397.93	262.2	293.07	255.0	269.6	221.86	447.82	384.34	295.11	435.55	358.54	473.41	265.87	265.87	358.54	307.69	237.86	409.15	271.48	417.77	343.89	466.88	406.31	454.09	332.14	217.27	373.81	387.02	447.82	218.79	305.55	277.2	262.2	363.56	327.56	339.14	366.09	217.27	239.52	329.84	299.25	420.68
KPNA5	31.22	37.05	33.06	14.03	32.13	45.85	130.6	124.37	78.89	81.14	108.14	134.3	77.25	163.28	120.1	178.77	65.26	123.5	182.55	92.7	262.2	262.2	158.79	305.55	180.02	273.37	212.78	177.53	199.85	253.23	166.73	204.07	248.0	277.2	180.02	195.72	307.69	289.02	214.27	376.41	229.72	208.38	189.02	281.09	194.36	137.14	211.31	234.57	256.78	273.37	198.47	175.07	255.0	269.6	134.3	171.45	167.9	195.72	236.21	223.41	281.09	182.55	281.09	193.01	429.54	186.4	212.78	221.86	234.57	165.57	217.27	204.07	260.38	181.28	309.83	209.84	303.44	246.28	155.5	237.86	187.71	323.03	285.03	228.13	126.12	237.86	246.28	226.54	242.88	215.77	208.38	96.68	224.97	231.32	201.25
LMLN	58.71	55.89	38.67	14.35	22.1	11.04	45.85	71.0	72.52	55.49	62.56	44.89	42.71	63.89	50.27	58.71	66.65	79.45	57.49	51.71	176.29	153.34	92.7	175.07	103.69	103.69	119.26	78.89	157.68	100.83	98.04	100.83	211.31	132.44	117.6	96.01	121.79	177.53	87.65	133.36	153.34	117.6	115.16	98.04	108.14	80.57	113.56	127.89	120.94	218.79	121.79	115.97	162.14	138.1	102.97	147.06	100.83	98.73	108.14	145.02	157.68	79.45	217.27	154.42	186.4	85.82	97.36	118.43	137.14	80.57	132.44	75.64	204.07	111.21	152.28	130.6	187.71	77.79	71.0	204.07	85.82	111.99	60.39	119.26	60.82	166.73	139.07	124.37	167.9	146.03	72.01	76.71	147.06	106.63	105.15
LRIG3	70.01	85.82	146.03	218.79	27.05	47.5	329.84	785.88	466.88	244.57	336.79	629.35	521.76	769.69	303.44	743.43	490.14	559.28	486.75	624.99	2032.85	2240.11	796.86	2502.97	848.22	967.76	1295.13	808.0	1639.59	1111.82	1151.06	1225.22	5517.27	1457.23	669.92	808.0	3349.13	1674.06	753.83	1936.53	1594.73	1081.39	909.17	842.36	1242.34	674.59	607.87	954.43	1066.48	2090.03	1066.48	1104.13	1066.48	1427.22	1340.84	988.12	842.36	733.19	860.08	1242.34	1721.16	961.07	3018.3	1583.71	2796.65	532.74	819.3	1044.52	1583.71	974.5	1769.57	674.59	2537.92	633.73	2047.0	921.88	1757.34	1015.93	902.89	2758.13	583.07	1447.15	769.69	1001.93	507.46	1340.84	1216.75	775.05	1427.22	1844.76	514.56	633.73	1359.57	854.13	1135.2
MAP3K7	194.36	226.54	187.71	101.54	208.38	262.2	224.97	327.56	277.2	202.66	332.14	271.48	242.88	277.2	277.2	336.79	178.77	305.55	249.73	256.78	412.0	417.77	334.46	547.75	289.02	389.72	371.22	381.68	395.18	400.71	343.89	339.14	392.44	417.77	397.93	341.51	343.89	518.15	423.61	435.55	329.84	366.09	392.44	409.15	305.55	289.02	307.69	358.54	395.18	470.14	406.31	281.09	395.18	486.75	316.37	323.03	325.29	343.89	339.14	429.54	460.44	318.57	406.31	429.54	599.49	307.69	301.33	389.72	366.09	291.04	470.14	361.04	497.0	403.5	447.82	392.44	447.82	366.09	264.03	412.0	432.53	363.56	316.37	381.68	269.6	486.75	371.22	387.02	379.04	409.15	291.04	289.02	373.81	341.51	361.04
MBTD1	72.01	40.93	59.55	19.97	43.02	53.19	70.51	103.69	98.04	91.41	127.0	120.94	102.97	148.09	86.43	164.42	138.1	108.9	111.99	70.51	285.03	287.01	131.51	334.46	133.36	220.32	228.13	148.09	293.07	205.5	166.73	144.01	283.05	221.86	189.02	161.02	299.25	447.82	182.55	339.14	218.79	205.5	202.66	175.07	161.02	119.26	186.4	175.07	195.72	301.33	197.09	199.85	260.38	265.87	229.72	173.85	173.85	132.44	198.47	305.55	249.73	138.1	332.14	267.73	283.05	115.16	164.42	169.07	283.05	131.51	256.78	186.4	246.28	165.57	287.01	177.53	305.55	167.9	146.03	260.38	161.02	244.57	133.36	208.38	108.14	312.0	215.77	163.28	283.05	226.54	167.9	164.42	198.47	169.07	147.06
MDC1	414.87	221.86	239.52	239.52	307.69	332.14	287.01	426.57	295.11	366.09	457.25	412.0	423.61	353.59	267.73	307.69	518.15	583.07	346.29	373.81	988.12	860.08	620.67	693.58	392.44	466.88	669.92	713.11	759.08	884.29	612.11	483.38	743.43	656.11	708.18	307.69	688.78	698.41	698.41	819.3	532.74	674.59	759.08	547.75	684.02	638.15	543.96	603.67	665.29	819.3	656.11	521.76	967.76	708.18	551.56	514.56	679.29	703.28	417.77	1044.52	808.0	567.1	842.36	693.58	532.74	638.15	412.0	738.29	500.46	616.37	738.29	563.18	708.18	638.15	967.76	921.88	941.27	764.36	490.14	780.44	723.08	624.99	525.39	620.67	493.56	470.14	1066.48	825.0	764.36	723.08	460.44	314.17	941.27	497.0	728.11
MGEA5	693.58	802.41	493.56	351.14	579.04	379.04	884.29	1037.29	1023.0	854.13	1159.07	1096.5	1175.27	1030.12	896.64	1447.15	1066.48	961.07	1104.13	748.61	2400.97	1857.6	1088.92	2645.74	902.89	1242.34	1508.65	1605.83	1896.65	1572.76	1208.34	1175.27	2384.37	1923.14	2032.85	1199.98	2119.22	2682.69	1963.57	2303.12	1540.37	1963.57	1745.2	1427.22	1407.55	1175.27	1199.98	1417.35	1757.34	1857.6	1508.65	1191.69	1757.34	2335.28	1340.84	1487.87	1467.37	967.76	1242.34	2384.37	1832.01	1183.45	2178.83	1806.78	2047.0	1119.56	1066.48	1467.37	1498.22	1331.57	1883.54	1030.12	2335.28	1242.34	2224.63	1628.26	2163.77	1639.59	947.83	1769.57	1572.76	1508.65	1059.11	1697.45	1096.5	2163.77	1662.49	1268.46	2255.7	1769.57	1277.29	1447.15	1350.18	1051.79	1427.22
MLLT10	113.56	217.27	234.57	142.01	116.78	165.57	229.72	397.93	260.38	223.41	325.29	303.44	299.25	327.56	162.14	373.81	318.57	346.29	295.11	220.32	583.07	587.13	361.04	599.49	603.67	567.1	518.15	417.77	540.19	457.25	511.0	599.49	647.07	559.28	423.61	656.11	684.02	476.71	493.56	612.11	511.0	412.0	389.72	441.64	497.0	343.89	540.19	444.72	507.46	688.78	460.44	571.05	599.49	629.35	426.57	579.04	490.14	356.05	435.55	525.39	547.75	438.59	656.11	511.0	647.07	423.61	463.65	454.09	738.29	312.0	503.95	368.65	603.67	414.87	583.07	571.05	567.1	438.59	361.04	555.41	409.15	563.18	265.87	435.55	305.55	819.3	665.29	525.39	493.56	536.45	400.71	447.82	463.65	583.07	460.44
MON2	88.88	119.26	135.24	71.0	87.03	68.07	186.4	316.37	267.73	156.59	373.81	273.37	248.0	256.78	267.73	441.64	473.41	309.83	269.6	229.72	718.08	651.58	387.02	1250.98	395.18	559.28	444.72	423.61	616.37	583.07	403.5	521.76	802.41	514.56	660.68	470.14	599.49	981.29	400.71	669.92	647.07	587.13	575.03	603.67	406.31	444.72	514.56	567.1	579.04	825.0	642.59	536.45	679.29	775.05	620.67	518.15	454.09	432.53	514.56	647.07	555.41	323.03	808.0	759.08	819.3	417.77	376.41	457.25	503.95	381.68	591.22	423.61	860.08	525.39	743.43	466.88	842.36	444.72	366.09	780.44	525.39	503.95	406.31	507.46	285.03	713.11	490.14	463.65	665.29	780.44	466.88	361.04	500.46	463.65	463.65
MTHFSD	316.37	187.71	218.79	163.28	211.31	173.85	212.78	223.41	201.25	226.54	251.48	229.72	297.17	224.97	221.86	287.01	403.5	215.77	195.72	295.11	507.46	371.22	297.17	1143.1	301.33	305.55	336.79	303.44	392.44	320.8	285.03	260.38	447.82	389.72	373.81	209.84	242.88	353.59	301.33	356.05	318.57	409.15	420.68	316.37	301.33	316.37	287.01	400.71	316.37	490.14	339.14	307.69	409.15	463.65	303.44	299.25	366.09	332.14	279.14	444.72	339.14	277.2	429.54	384.34	381.68	323.03	246.28	312.0	246.28	251.48	420.68	283.05	426.57	299.25	389.72	373.81	420.68	320.8	316.37	409.15	273.37	346.29	208.38	293.07	320.8	316.37	376.41	339.14	409.15	389.72	205.5	318.57	361.04	255.0	307.69
MYO5C	42.41	50.98	77.25	20.11	41.22	42.71	264.03	373.81	267.73	129.69	303.44	239.52	127.89	264.03	241.19	316.37	229.72	309.83	334.46	191.67	665.29	633.73	334.46	785.88	514.56	480.04	447.82	371.22	480.04	500.46	395.18	450.94	941.27	540.19	563.18	486.75	941.27	1096.5	633.73	753.83	503.95	555.41	540.19	432.53	688.78	376.41	490.14	503.95	441.64	567.1	599.49	500.46	583.07	603.67	497.0	507.46	379.04	327.56	529.06	532.74	599.49	323.03	860.08	808.0	723.08	346.29	466.88	583.07	529.06	366.09	665.29	307.69	507.46	325.29	575.03	529.06	738.29	890.44	376.41	854.13	563.18	540.19	301.33	514.56	406.31	915.51	503.95	438.59	759.08	612.11	483.38	493.56	500.46	587.13	432.53
MYSM1	50.27	27.84	28.45	7.94	29.91	52.82	103.69	120.1	96.01	85.82	147.06	111.99	56.68	85.82	96.68	183.82	104.42	87.65	123.5	35.5	363.56	260.38	131.51	387.02	128.79	206.94	175.07	199.85	279.14	251.48	180.02	165.57	301.33	277.2	256.78	182.55	373.81	423.61	242.88	395.18	218.79	314.17	218.79	175.07	163.28	206.94	209.84	186.4	232.94	305.55	231.32	152.28	291.04	283.05	201.25	166.73	133.36	156.59	175.07	258.57	320.8	202.66	303.44	265.87	318.57	137.14	183.82	246.28	194.36	145.02	309.83	122.64	279.14	169.07	293.07	197.09	334.46	246.28	120.1	255.0	256.78	242.88	117.6	209.84	103.69	293.07	289.02	283.05	199.85	269.6	126.12	121.79	183.82	158.79	182.55
N4BP2L1	167.9	85.22	98.73	89.51	175.07	57.49	151.22	363.56	145.02	120.94	175.07	438.59	361.04	183.82	223.41	392.44	96.01	218.79	412.0	217.27	414.87	591.22	155.5	567.1	226.54	289.02	400.71	176.29	426.57	248.0	267.73	275.28	483.38	327.56	228.13	305.55	759.08	974.5	291.04	647.07	423.61	381.68	318.57	226.54	249.73	155.5	361.04	215.77	406.31	473.41	336.79	392.44	473.41	595.34	529.06	305.55	371.22	178.77	301.33	571.05	432.53	248.0	563.18	312.0	423.61	105.15	299.25	258.57	493.56	185.11	366.09	242.88	599.49	155.5	476.71	323.03	450.94	341.51	223.41	400.71	287.01	318.57	173.85	273.37	242.88	988.12	400.71	172.65	543.96	371.22	444.72	454.09	320.8	228.13	202.66
N4BP2L2	223.41	269.6	289.02	107.38	417.77	198.47	713.11	995.0	808.0	287.01	825.0	915.51	1111.82	860.08	708.18	1135.2	1037.29	896.64	909.17	583.07	2148.82	2061.24	1340.84	2573.36	1096.5	1407.55	1540.37	1397.83	2133.97	1605.83	1242.34	1427.22	2224.63	1794.29	1769.57	1529.73	1477.58	2018.8	1322.37	1909.85	1447.15	1350.18	2075.59	1378.57	1427.22	1023.0	1331.57	1781.89	1733.13	2367.9	1529.73	1561.89	1551.09	2400.97	1685.71	1397.83	1447.15	1023.0	1407.55	2148.82	1757.34	1143.1	2163.77	1605.83	2367.9	995.0	1208.34	1467.37	1572.76	1183.45	2133.97	1051.79	2090.03	1242.34	1883.54	1674.06	2271.4	1594.73	928.3	1963.57	1551.09	1487.87	1143.1	1757.34	974.5	3491.39	1605.83	1457.23	1605.83	2004.85	1127.35	1277.29	1437.15	1331.57	1427.22
NAA16	52.08	35.76	54.33	14.89	63.45	36.01	102.25	96.68	89.51	75.11	154.42	147.06	123.5	108.14	112.77	142.01	154.42	116.78	94.67	81.71	249.73	293.07	204.07	307.69	164.42	199.85	212.78	178.77	256.78	180.02	212.78	138.1	273.37	211.31	239.52	148.09	255.0	226.54	187.71	336.79	191.67	221.86	212.78	158.79	164.42	178.77	180.02	173.85	234.57	251.48	202.66	153.34	236.21	223.41	161.02	142.01	212.78	183.82	132.44	234.57	221.86	187.71	241.19	215.77	267.73	147.06	195.72	194.36	194.36	178.77	220.32	183.82	249.73	226.54	211.31	173.85	228.13	181.28	132.44	264.03	232.94	269.6	169.07	151.22	130.6	193.01	186.4	217.27	249.73	204.07	144.01	145.02	193.01	132.44	189.02
NAA25	58.71	41.81	77.25	40.36	48.18	86.43	68.55	115.97	90.77	72.52	101.54	82.29	69.52	88.88	81.71	119.26	90.77	115.16	87.03	77.25	228.13	199.85	154.42	287.01	123.5	134.3	172.65	141.02	187.71	163.28	143.01	123.5	273.37	202.66	162.14	115.16	346.29	336.79	175.07	217.27	164.42	197.09	171.45	138.1	159.9	157.68	125.24	153.34	155.5	189.02	169.07	124.37	171.45	163.28	164.42	163.28	141.02	154.42	111.99	162.14	206.94	144.01	305.55	180.02	253.23	118.43	112.77	157.68	150.17	137.14	173.85	131.51	206.94	146.03	209.84	165.57	275.28	153.34	111.21	221.86	163.28	181.28	129.69	131.51	92.7	161.02	172.65	149.12	171.45	191.67	95.34	104.42	162.14	134.3	150.17
NAPB	44.89	60.82	54.72	53.19	34.75	156.59	128.79	140.04	135.24	104.42	163.28	150.17	126.12	162.14	93.35	193.01	183.82	120.1	130.6	114.36	226.54	249.73	143.01	289.02	118.43	185.11	208.38	195.72	244.57	194.36	186.4	178.77	332.14	228.13	208.38	182.55	363.56	305.55	206.94	305.55	190.34	187.71	186.4	193.01	176.29	167.9	137.14	193.01	224.97	267.73	229.72	151.22	237.86	314.17	175.07	157.68	180.02	147.06	139.07	223.41	215.77	158.79	295.11	251.48	293.07	144.01	139.07	180.02	197.09	134.3	232.94	183.82	258.57	199.85	246.28	176.29	316.37	171.45	120.94	279.14	175.07	234.57	151.22	177.53	115.97	223.41	214.27	197.09	218.79	255.0	187.71	159.9	226.54	165.57	190.34
NBPF24	1.79	3.53	4.13	3.72	3.03	3.59	6.41	7.4	6.52	7.28	18.03	0.0	12.18	3.59	7.11	18.43	16.51	9.85	9.7	2.89	53.57	92.05	26.47	116.78	17.38	20.11	44.25	25.91	94.67	24.63	48.87	11.3	114.36	41.22	39.5	7.57	40.64	9.56	33.3	80.01	17.77	50.27	61.68	29.7	74.58	40.07	15.22	44.25	23.93	110.43	66.18	15.56	102.97	69.03	25.91	21.94	45.53	28.45	28.86	48.52	68.07	40.07	144.01	18.03	45.85	19.11	13.22	78.89	48.52	44.89	50.98	6.57	66.18	62.12	51.71	58.71	36.79	33.78	47.17	99.43	58.3	38.12	7.28	65.72	21.16	53.57	32.13	30.34	77.79	40.36	8.13	17.77	26.28	11.73	60.82
